#{"t_start": 1737838925.2012806, "env_id": "None"}
r,l,t
120.898932,159,4.196177
32.849084,280,5.677722
9.141585,600,9.019345
15.63079,600,12.288104
8.962,160,13.167658
2.917519,600,22.352198
103.379938,210,23.489624
58.522832,169,24.432004
31.1803,304,26.101224
28.278693,186,27.113012
172.670076,600,30.486675
481.617643,600,40.02588
99.002817,147,40.855855
101.289231,167,41.827908
122.923069,180,42.834453
30.678191,256,44.22934
31.574135,600,47.528852
548.642109,600,57.454635
134.713468,243,58.853072
6.350261,600,62.214031
79.298225,135,62.961351
112.005194,600,66.266618
94.710958,600,75.831351
203.882965,521,78.74781
8.556162,142,79.56088
18.728095,353,81.572638
48.736765,231,82.849848
8.628048,600,92.329764
478.590237,600,95.660803
31.001032,168,96.559906
14.715628,151,97.415393
38.564425,600,101.294243
91.554304,146,102.128931
60.49097,287,110.002352
159.363073,228,111.264347
75.317437,191,112.351954
30.729709,600,115.943702
156.882646,296,117.556102
20.394948,600,120.945885
296.260975,600,130.210291
229.635107,288,131.868886
94.598408,600,135.291564
164.846969,343,137.158273
117.705815,232,138.445266
22.959162,600,147.840007
131.628093,322,149.66563
8.101829,600,152.985236
30.204843,429,155.372653
39.533794,333,163.024927
28.190747,174,164.013635
2.639268,600,167.355372
40.02043,600,170.88379
265.751824,344,172.788616
5.978349,600,182.063359
46.357599,169,183.008188
42.276122,421,185.411332
276.305691,353,187.636042
96.176117,160,188.525061
40.065788,152,189.347246
6.258414,600,199.079021
14.103589,222,200.407705
585.922063,600,204.079701
108.942825,161,205.057581
11.877541,600,208.739318
107.029982,171,215.647582
166.314846,243,217.127164
124.611041,154,218.015524
142.371415,600,221.52551
228.019401,360,223.70097
199.01464,600,227.2842
-1.138746,145,233.886184
143.029952,165,234.860474
77.370624,348,236.97195
13.099946,157,237.919594
12.546941,600,241.588812
37.806235,600,245.195489
20.19288,196,252.318213
79.045038,149,253.262386
120.254257,160,254.223503
76.412907,193,255.362587
49.874005,281,257.058897
23.147098,189,258.197731
33.848202,600,261.797323
13.200393,280,263.479281
104.340455,142,270.607708
74.201358,600,274.196755
6.698844,600,277.771891
134.403096,275,279.502636
379.95381,600,289.198203
36.609999,600,292.767488
124.686978,166,293.749655
96.370766,600,297.429403
235.882311,297,299.196524
187.742753,366,307.418759
32.683938,414,309.929942
78.033646,477,312.801798
21.831387,170,313.831049
89.160987,144,314.716588
4.601132,600,318.338473
232.854347,600,328.024557
110.674646,185,329.147348
87.09985,600,332.894826
24.576762,255,334.471555
71.991241,173,335.515989
60.126825,256,337.129877
-2.569983,362,345.278061
209.669939,352,347.404096
6.002136,600,351.189497
78.921656,156,352.130814
26.635883,202,353.381755
56.919781,600,363.099766
54.496136,550,366.540313
24.281749,284,368.296319
116.259884,287,370.150066
128.180768,600,373.833793
18.505268,247,375.324183
45.218973,263,383.011009
110.605955,164,384.02977
160.5233,184,385.161526
15.079131,189,386.377505
37.694905,290,388.163218
558.785912,600,391.6822
109.81032,600,401.672487
214.336548,270,403.243778
413.285517,600,406.915676
190.229969,268,408.517844
47.888596,280,410.222482
6.304567,600,420.201347
20.260884,144,421.10261
141.953745,305,422.923599
2.722348,600,426.5329
208.025068,506,429.611335
102.745001,164,430.615584
8.997077,600,440.286861
15.985821,164,441.269583
148.804889,191,442.413489
81.973132,153,443.330463
4.571469,600,446.99421
12.607484,600,456.634995
33.769641,254,458.129045
23.921074,158,459.07975
71.770719,153,459.989753
43.431645,289,461.706796
133.924564,149,462.610639
17.346183,178,463.673135
92.914104,159,464.658205
179.001845,218,465.946389
5.017802,600,475.4901
12.353613,600,479.100571
487.564443,600,482.780601
101.330166,160,483.731967
30.708932,600,493.218491
20.65165,426,495.842718
38.904312,142,496.664782
92.241039,600,500.292834
248.330291,318,502.131216
248.372899,355,504.348831
72.475334,152,511.279468
32.718306,600,514.709952
113.510556,354,516.820336
121.737402,328,518.788716
112.989618,173,519.865742
203.732642,255,521.465261
529.821359,600,531.184867
138.499121,200,532.578681
107.62075,313,534.466192
4.510084,600,538.126857
-3.421264,286,539.814164
122.303065,149,540.718173
418.493793,600,550.243041
32.876572,531,553.489035
-3.368879,298,555.257397
167.173643,333,557.285783
112.303927,166,558.27248
6.83386,600,568.100131
230.806278,600,571.666869
55.238235,273,573.270203
15.678335,600,576.785486
26.471595,235,578.228799
219.504674,304,586.243165
30.719497,600,589.98851
14.440794,175,591.08479
18.204365,600,595.122686
-8.669539,407,604.448105
14.621141,600,608.228809
53.304326,219,609.561865
20.846384,380,611.922845
64.511029,323,613.94695
197.08496,345,616.044237
14.944573,230,623.464395
-0.685631,384,625.978002
14.431899,362,628.262801
41.474825,374,630.482189
-3.814807,172,631.524783
33.960948,600,635.220067
43.410583,245,643.050093
249.863285,284,644.813679
6.394922,155,645.843387
81.60459,157,646.820562
-6.968055,150,647.737776
58.665836,251,649.207935
64.062362,309,651.114106
143.827359,211,652.401534
44.466858,244,653.937243
95.261867,364,662.541987
28.171276,260,664.142235
46.883588,149,665.040112
94.956146,600,668.606529
22.772418,600,672.300669
86.249767,140,673.141252
85.047121,174,680.483306
9.843438,600,684.101211
11.659599,600,687.727247
100.425378,142,688.589418
88.954757,600,692.159141
234.721791,306,700.128116
89.249221,150,701.0144
10.583429,600,704.714498
53.046733,248,706.239265
2.082453,600,709.891518
31.200625,600,719.435594
268.473469,387,721.76403
105.646648,143,722.624733
1.252847,600,726.229255
15.884532,500,735.433722
17.055861,182,736.533027
15.658372,562,739.88184
19.606109,318,741.782148
162.615361,315,743.732256
29.533546,600,747.753626
21.820678,600,757.498351
478.351742,600,761.316878
188.076349,331,763.428283
28.075492,600,773.307766
1.217636,600,777.013653
86.990139,158,777.919998
32.077601,600,781.631157
-7.12288,305,783.474443
110.309034,171,784.472004
-0.379915,296,792.201728
73.682256,319,794.210756
50.402572,139,795.046747
6.394303,600,798.7145
39.846426,286,800.501293
82.928705,600,810.182807
164.819832,230,811.576875
52.110854,600,815.148903
-3.0097,600,818.837194
-1.135923,169,819.859696
78.081669,600,829.689171
51.940734,170,830.676463
113.872712,155,831.597959
3.773323,600,835.272063
122.187293,196,836.51009
434.555244,600,840.125621
96.027734,303,848.037091
149.526591,231,849.418631
117.544559,290,851.177887
42.474185,261,852.787739
68.969297,342,854.797241
198.192207,461,857.656841
270.017306,600,867.375552
195.149583,255,868.941018
21.391902,280,870.575223
11.523391,600,874.132978
16.208539,600,877.822579
79.111606,182,885.088341
34.117684,600,888.677802
84.315333,170,889.696012
166.483466,185,890.837125
14.052631,211,892.162144
454.663892,600,895.994014
13.426287,243,903.600778
103.343149,149,904.538593
17.751744,600,908.154385
130.785942,364,910.360521
11.03837,600,913.96622
60.962825,395,922.339376
150.784346,259,923.866839
73.765912,154,924.775927
12.536099,600,928.434087
166.621748,236,929.816988
13.417497,175,930.884667
222.297792,365,933.09549
10.237453,600,942.912612
237.210811,600,946.498585
236.682781,600,950.148871
114.809419,156,951.118572
122.666286,152,952.027747
95.07329,166,959.131695
34.974992,243,960.702838
5.27964,252,962.189705
17.178999,197,963.34569
126.653027,166,964.345397
187.579138,232,965.735015
51.859644,165,966.803186
82.078401,600,970.614183
161.189395,389,979.037796
15.602645,278,980.687081
8.323404,600,984.356809
16.587798,159,985.346714
55.953854,157,986.355539
37.357658,348,988.50072
44.407631,235,996.015566
19.133016,303,997.874469
8.860807,156,998.8151
10.727437,261,1000.463106
29.695063,307,1002.29988
30.137569,600,1005.879581
88.339884,207,1007.130501
27.276774,205,1014.381866
174.130281,251,1015.911898
52.68317,600,1019.635508
66.400093,361,1021.777215
6.699042,600,1025.433849
278.108696,304,1033.320683
46.142608,148,1034.195335
16.841828,146,1035.112849
124.446027,321,1037.033459
183.751871,230,1038.394834
25.469149,244,1039.912319
86.386538,600,1043.578634
12.692547,600,1053.425458
4.6368,600,1057.078748
87.066548,149,1058.027972
109.467924,197,1059.25701
