Match 40; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8108333333333333; Defensive field percentage: 0.18916666666666668
Match 41; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.99625; Defensive field percentage: 0.00375
Match 42; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.17958333333333334; Defensive field percentage: 0.8204166666666667
Match 43; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.21708333333333332; Defensive field percentage: 0.7829166666666667
Match 44; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5025; Defensive field percentage: 0.4975
Match 45; Goals pro: 0; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6775; Defensive field percentage: 0.3225
Match 46; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.22208333333333333; Defensive field percentage: 0.7779166666666667
Match 47; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.31625; Defensive field percentage: 0.68375
Match 48; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.37125; Defensive field percentage: 0.62875
Match 49; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.37666666666666665; Defensive field percentage: 0.6233333333333333
Match 50; Goals pro: 0; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6425; Defensive field percentage: 0.3575
Match 51; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.22333333333333333; Defensive field percentage: 0.7766666666666666
Match 52; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.33166666666666667; Defensive field percentage: 0.6683333333333333
Match 53; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6666666666666666; Defensive field percentage: 0.3333333333333333
Match 54; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5495833333333333; Defensive field percentage: 0.4504166666666667
Match 55; Goals pro: 1; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.22083333333333333; Defensive field percentage: 0.7791666666666667
