Match 40; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6008333333333333; Defensive field percentage: 0.39916666666666667
Match 41; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9079166666666667; Defensive field percentage: 0.09208333333333334
Match 42; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5266666666666666; Defensive field percentage: 0.47333333333333333
Match 43; Goals pro: 2; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6633333333333333; Defensive field percentage: 0.33666666666666667
Match 44; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.4275; Defensive field percentage: 0.5725
Match 45; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.49916666666666665; Defensive field percentage: 0.5008333333333334
Match 46; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3308333333333333; Defensive field percentage: 0.6691666666666667
Match 47; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6275; Defensive field percentage: 0.3725
Match 48; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5266666666666666; Defensive field percentage: 0.47333333333333333
Match 49; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.2679166666666667; Defensive field percentage: 0.7320833333333333
Match 50; Goals pro: 0; Goals against: 5; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.10666666666666667; Defensive field percentage: 0.8933333333333333
Match 51; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.22375; Defensive field percentage: 0.77625
Match 52; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5325; Defensive field percentage: 0.4675
Match 53; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.19916666666666666; Defensive field percentage: 0.8008333333333333
Match 54; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5370833333333334; Defensive field percentage: 0.46291666666666664
Match 55; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.15958333333333333; Defensive field percentage: 0.8404166666666667
Match 56; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.6529166666666667; Defensive field percentage: 0.34708333333333335
Match 57; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.81875; Defensive field percentage: 0.18125
Match 58; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2866666666666667; Defensive field percentage: 0.7133333333333334
Match 59; Goals pro: 0; Goals against: 3; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.33458333333333334; Defensive field percentage: 0.6654166666666667
Match 60; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.3541666666666667; Defensive field percentage: 0.6458333333333334
Match 61; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.7975; Defensive field percentage: 0.2025
Match 62; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6516666666666666; Defensive field percentage: 0.34833333333333333
Match 63; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.25166666666666665; Defensive field percentage: 0.7483333333333333
Match 64; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.79; Defensive field percentage: 0.21
Match 65; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3020833333333333; Defensive field percentage: 0.6979166666666666
Match 66; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.22958333333333333; Defensive field percentage: 0.7704166666666666
Match 67; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.10041666666666667; Defensive field percentage: 0.8995833333333333
Match 68; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4; Defensive field percentage: 0.6
Match 69; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5625; Defensive field percentage: 0.4375
Match 70; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.23333333333333334; Defensive field percentage: 0.7666666666666667
Match 71; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.12291666666666666; Defensive field percentage: 0.8770833333333333
Match 72; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.2658333333333333; Defensive field percentage: 0.7341666666666666
Match 73; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.44416666666666665; Defensive field percentage: 0.5558333333333333
Match 74; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7654166666666666; Defensive field percentage: 0.23458333333333334
Match 75; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5808333333333333; Defensive field percentage: 0.4191666666666667
Match 76; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.3675; Defensive field percentage: 0.6325
Match 77; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.4166666666666667; Defensive field percentage: 0.5833333333333334
Match 78; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.26208333333333333; Defensive field percentage: 0.7379166666666667
Match 79; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6666666666666666; Defensive field percentage: 0.3333333333333333
Match 80; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.11666666666666667; Defensive field percentage: 0.8833333333333333
Match 81; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.39125; Defensive field percentage: 0.60875
Match 82; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.25375; Defensive field percentage: 0.74625
Match 83; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.3720833333333333; Defensive field percentage: 0.6279166666666667
Match 84; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.46375; Defensive field percentage: 0.53625
Match 85; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.75125; Defensive field percentage: 0.24875
Match 86; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5975; Defensive field percentage: 0.4025
Match 87; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.83625; Defensive field percentage: 0.16375
Match 88; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7883333333333333; Defensive field percentage: 0.21166666666666667
Match 89; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.38916666666666666; Defensive field percentage: 0.6108333333333333
Match 90; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.29541666666666666; Defensive field percentage: 0.7045833333333333
Match 91; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.04708333333333333; Defensive field percentage: 0.9529166666666666
Match 92; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.37041666666666667; Defensive field percentage: 0.6295833333333334
Match 93; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5404166666666667; Defensive field percentage: 0.45958333333333334
Match 94; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6875; Defensive field percentage: 0.3125
Match 95; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.125; Defensive field percentage: 0.875
Match 96; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23166666666666666; Defensive field percentage: 0.7683333333333333
Match 97; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4325; Defensive field percentage: 0.5675
Match 98; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5641666666666667; Defensive field percentage: 0.43583333333333335
Match 99; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3308333333333333; Defensive field percentage: 0.6691666666666667
Match 100; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.41458333333333336; Defensive field percentage: 0.5854166666666667
Number of wins: 13; Number of draws: 45; Number of losses: 42; Total number of goals pro: 33; Total number of goals against: 84; Total number of offensive free balls: 48; Total number of defensive free balls: 58; Mean defensive field percentage: 0.5401791666666668; Mean offensive field percentage: 0.4598208333333331
