Match 40; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6383333333333333; Defensive field percentage: 0.3616666666666667
Match 41; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.28791666666666665; Defensive field percentage: 0.7120833333333333
Match 42; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.21375; Defensive field percentage: 0.78625
Match 43; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.012916666666666667; Defensive field percentage: 0.9870833333333333
Match 44; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.45; Defensive field percentage: 0.55
Match 45; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5904166666666667; Defensive field percentage: 0.40958333333333335
Match 46; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.6245833333333334; Defensive field percentage: 0.3754166666666667
Match 47; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.91; Defensive field percentage: 0.09
Match 48; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6183333333333333; Defensive field percentage: 0.38166666666666665
Match 49; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6129166666666667; Defensive field percentage: 0.38708333333333333
Match 50; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7441666666666666; Defensive field percentage: 0.25583333333333336
Match 51; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6004166666666667; Defensive field percentage: 0.39958333333333335
Match 52; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.7966666666666666; Defensive field percentage: 0.20333333333333334
Match 53; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.33208333333333334; Defensive field percentage: 0.6679166666666667
Match 54; Goals pro: 1; Goals against: 4; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6245833333333334; Defensive field percentage: 0.3754166666666667
Match 55; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.37; Defensive field percentage: 0.63
Match 56; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.93; Defensive field percentage: 0.07
Match 57; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.605; Defensive field percentage: 0.395
Match 58; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.77375; Defensive field percentage: 0.22625
Match 59; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8070833333333334; Defensive field percentage: 0.19291666666666665
Match 60; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4870833333333333; Defensive field percentage: 0.5129166666666667
Match 61; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.02625; Defensive field percentage: 0.97375
Match 62; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.5304166666666666; Defensive field percentage: 0.46958333333333335
Match 63; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5704166666666667; Defensive field percentage: 0.4295833333333333
Match 64; Goals pro: 1; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5579166666666666; Defensive field percentage: 0.44208333333333333
Match 65; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6841666666666667; Defensive field percentage: 0.31583333333333335
Match 66; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.9058333333333334; Defensive field percentage: 0.09416666666666666
Match 67; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.30291666666666667; Defensive field percentage: 0.6970833333333334
Match 68; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7558333333333334; Defensive field percentage: 0.24416666666666667
