Match 40; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6683333333333333; Defensive field percentage: 0.33166666666666667
Match 41; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5391666666666667; Defensive field percentage: 0.4608333333333333
Match 42; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.48625; Defensive field percentage: 0.51375
Match 43; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.2708333333333333; Defensive field percentage: 0.7291666666666666
Match 44; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.20208333333333334; Defensive field percentage: 0.7979166666666667
Match 45; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23458333333333334; Defensive field percentage: 0.7654166666666666
Match 46; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.16375; Defensive field percentage: 0.83625
Match 47; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6125; Defensive field percentage: 0.3875
Match 48; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.3329166666666667; Defensive field percentage: 0.6670833333333334
Match 49; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6070833333333333; Defensive field percentage: 0.3929166666666667
Match 50; Goals pro: 3; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.53875; Defensive field percentage: 0.46125
Match 51; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.245; Defensive field percentage: 0.755
Match 52; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.40166666666666667; Defensive field percentage: 0.5983333333333334
Match 53; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.55125; Defensive field percentage: 0.44875
Match 54; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.49625; Defensive field percentage: 0.50375
Match 55; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.9116666666666666; Defensive field percentage: 0.08833333333333333
Match 56; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.28458333333333335; Defensive field percentage: 0.7154166666666667
Match 57; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.3283333333333333; Defensive field percentage: 0.6716666666666666
Match 58; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5783333333333334; Defensive field percentage: 0.4216666666666667
Match 59; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5416666666666666; Defensive field percentage: 0.4583333333333333
Match 60; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.009166666666666667; Defensive field percentage: 0.9908333333333333
Match 61; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4066666666666667; Defensive field percentage: 0.5933333333333334
Match 62; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.6195833333333334; Defensive field percentage: 0.3804166666666667
Match 63; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.56875; Defensive field percentage: 0.43125
Match 64; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7204166666666667; Defensive field percentage: 0.27958333333333335
Match 65; Goals pro: 3; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3929166666666667; Defensive field percentage: 0.6070833333333333
Match 66; Goals pro: 3; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3304166666666667; Defensive field percentage: 0.6695833333333333
Match 67; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.20708333333333334; Defensive field percentage: 0.7929166666666667
Match 68; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.72625; Defensive field percentage: 0.27375
Match 69; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5345833333333333; Defensive field percentage: 0.46541666666666665
Match 70; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.2816666666666667; Defensive field percentage: 0.7183333333333334
Match 71; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.46208333333333335; Defensive field percentage: 0.5379166666666667
Match 72; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6629166666666667; Defensive field percentage: 0.33708333333333335
Match 73; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3575; Defensive field percentage: 0.6425
Match 74; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.51125; Defensive field percentage: 0.48875
Match 75; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7941666666666667; Defensive field percentage: 0.20583333333333334
Match 76; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.595; Defensive field percentage: 0.405
Match 77; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.032916666666666664; Defensive field percentage: 0.9670833333333333
Match 78; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4175; Defensive field percentage: 0.5825
Match 79; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.705; Defensive field percentage: 0.295
Match 80; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.345; Defensive field percentage: 0.655
Match 81; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.31666666666666665; Defensive field percentage: 0.6833333333333333
Match 82; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4354166666666667; Defensive field percentage: 0.5645833333333333
Match 83; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.24833333333333332; Defensive field percentage: 0.7516666666666667
Match 84; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6208333333333333; Defensive field percentage: 0.37916666666666665
Match 85; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.34875; Defensive field percentage: 0.65125
Match 86; Goals pro: 0; Goals against: 2; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.7295833333333334; Defensive field percentage: 0.2704166666666667
Match 87; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5133333333333333; Defensive field percentage: 0.4866666666666667
Match 88; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.38166666666666665; Defensive field percentage: 0.6183333333333333
Match 89; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6516666666666666; Defensive field percentage: 0.34833333333333333
Match 90; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7041666666666667; Defensive field percentage: 0.29583333333333334
Match 91; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4583333333333333; Defensive field percentage: 0.5416666666666666
Match 92; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.13541666666666666; Defensive field percentage: 0.8645833333333334
Match 93; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.29583333333333334; Defensive field percentage: 0.7041666666666667
Match 94; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6579166666666667; Defensive field percentage: 0.34208333333333335
Match 95; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.35083333333333333; Defensive field percentage: 0.6491666666666667
Match 96; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5504166666666667; Defensive field percentage: 0.44958333333333333
Match 97; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4920833333333333; Defensive field percentage: 0.5079166666666667
Match 98; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.72; Defensive field percentage: 0.28
Match 99; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5683333333333334; Defensive field percentage: 0.43166666666666664
Match 100; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5275; Defensive field percentage: 0.4725
Number of wins: 20; Number of draws: 55; Number of losses: 25; Total number of goals pro: 50; Total number of goals against: 59; Total number of offensive free balls: 41; Total number of defensive free balls: 41; Mean defensive field percentage: 0.5302791666666669; Mean offensive field percentage: 0.4697208333333333
