Match 40; Goals pro: 2; Goals against: 4; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4325; Defensive field percentage: 0.5675
Match 41; Goals pro: 2; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6325; Defensive field percentage: 0.3675
Match 42; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.22916666666666666; Defensive field percentage: 0.7708333333333334
Match 43; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4241666666666667; Defensive field percentage: 0.5758333333333333
Match 44; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.6741666666666667; Defensive field percentage: 0.3258333333333333
Match 45; Goals pro: 2; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5620833333333334; Defensive field percentage: 0.4379166666666667
Match 46; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23; Defensive field percentage: 0.77
Match 47; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.5704166666666667; Defensive field percentage: 0.4295833333333333
Match 48; Goals pro: 1; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6725; Defensive field percentage: 0.3275
Match 49; Goals pro: 3; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4375; Defensive field percentage: 0.5625
Match 50; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8641666666666666; Defensive field percentage: 0.13583333333333333
Match 51; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.8804166666666666; Defensive field percentage: 0.11958333333333333
Match 52; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.68375; Defensive field percentage: 0.31625
Match 53; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6841666666666667; Defensive field percentage: 0.31583333333333335
Match 54; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.6608333333333334; Defensive field percentage: 0.33916666666666667
Match 55; Goals pro: 3; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.7283333333333334; Defensive field percentage: 0.27166666666666667
Match 56; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.8216666666666667; Defensive field percentage: 0.17833333333333334
Match 57; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5941666666666666; Defensive field percentage: 0.4058333333333333
