Match 40; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.3154166666666667; Defensive field percentage: 0.6845833333333333
Match 41; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.4141666666666667; Defensive field percentage: 0.5858333333333333
Match 42; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.6591666666666667; Defensive field percentage: 0.3408333333333333
Match 43; Goals pro: 0; Goals against: 1; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.7083333333333334; Defensive field percentage: 0.2916666666666667
Match 44; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.3516666666666667; Defensive field percentage: 0.6483333333333333
Match 45; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.58875; Defensive field percentage: 0.41125
Match 46; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5683333333333334; Defensive field percentage: 0.43166666666666664
Match 47; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.4116666666666667; Defensive field percentage: 0.5883333333333334
Match 48; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 2; Offensive field percentage: 0.39958333333333335; Defensive field percentage: 0.6004166666666667
Match 49; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.07875; Defensive field percentage: 0.92125
Match 50; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.15875; Defensive field percentage: 0.84125
Match 51; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5629166666666666; Defensive field percentage: 0.4370833333333333
Match 52; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5491666666666667; Defensive field percentage: 0.4508333333333333
Match 53; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.17541666666666667; Defensive field percentage: 0.8245833333333333
Match 54; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.29041666666666666; Defensive field percentage: 0.7095833333333333
Match 55; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8833333333333333; Defensive field percentage: 0.11666666666666667
