#{"t_start": 1738090794.4987628, "env_id": "None"}
r,l,t
-285.612862,467,7.215784
-127.510954,216,10.287949
-360.881196,440,16.991327
-633.504224,840,29.722588
-357.259677,440,44.460332
-343.426686,440,51.22432
-350.93159,440,58.684467
-535.035345,720,70.257241
-355.58803,440,84.632378
-39.928714,100,86.210422
-602.476414,840,99.159968
-324.831997,440,106.108608
-1290.115074,1560,138.3969
-93.977016,179,141.183334
-588.22816,800,161.089397
-323.044436,536,169.562343
-213.714621,380,175.411304
-833.937037,1280,204.192743
-61.326245,147,206.488631
-343.859389,440,213.441363
-78.575478,164,216.011378
-98.098816,193,219.090693
-997.254194,1600,251.637902
-744.454485,1600,284.327952
-43.33872,162,286.910381
-17.372671,68,287.988654
-45.350425,157,290.450083
-63.703029,455,297.681268
-130.108567,243,301.46427
-74.820621,654,318.924819
-71.303329,143,321.157167
-602.943146,1600,346.457763
-40.80778,120,348.381818
-24.961738,79,349.638918
-491.12564,1600,382.353284
-71.514735,385,388.332116
-801.058097,1600,421.141894
0.849113,66,422.193225
-182.063519,276,426.528361
-203.452712,398,440.111161
-225.016973,643,450.183918
-4.179579,55,451.039451
-19.849683,72,452.192566
-68.596667,436,459.022582
-54.752992,122,460.924565
-1.035027,57,461.791786
-18.548929,83,463.104572
-54.216982,503,478.02433
-43.474178,100,479.589321
-695.078862,1145,497.542219
-366.135322,1600,529.412472
-280.261376,577,538.372918
-654.783522,1600,570.827427
-669.438168,720,582.082598
-45.352096,150,584.403897
-24.266687,76,585.55705
-504.467465,919,607.403087
-17.222804,78,608.60529
-232.959879,1029,624.553328
-7.329926,213,634.989325
-11.140599,54,635.844458
-149.777186,1149,653.907662
-333.101691,1269,681.113332
-85.881575,607,690.439851
8.832935,54,691.281699
-75.493203,135,693.36074
-13.18038,73,694.456609
-176.804462,808,714.38148
-198.433901,477,721.708277
8.015439,52,722.508784
-615.220579,1600,754.737097
-95.266478,841,767.942207
-5.740765,77,769.212254
-828.500541,600,778.501868
-22.341282,354,791.606106
-585.991001,1600,816.74591
-8.866439,70,817.805621
5.704656,56,818.671115
-41.135434,110,820.464026
3.385116,237,832.089498
-64.677045,461,839.354673
-21.036661,83,840.688492
-13.835671,111,842.431386
-26.79083,122,844.395356
-690.315719,960,859.510482
-223.163698,748,878.422988
-6.479324,235,882.159401
-13.016499,90,883.525677
-27.406145,490,891.305863
-28.573983,415,897.7586
-40.57412,275,901.993083
-372.217452,1600,934.296425
-2.213614,261,938.39411
-44.89705,134,940.412936
-18.483328,85,949.084279
-121.451886,1099,966.387975
-31.21486,123,968.311817
-17.532008,78,969.537681
-29.675686,88,970.958904
-7.524801,56,971.840435
-15.552688,230,975.471955
5.678916,87,976.867556
-8.017143,68,977.940477
-25.956094,285,990.140676
-772.099792,1600,1015.193543
12.578303,57,1016.118034
-41.909607,476,1030.910603
-26.348367,96,1032.410629
-21.206164,217,1035.757824
-2.753251,58,1036.665473
-93.966919,1428,1058.931994
-10.928131,97,1067.713458
-11.932407,77,1068.941635
-117.448954,353,1074.455506
-1.422331,67,1075.489924
-48.946403,145,1077.845398
-65.207459,301,1082.56952
-6.60012,66,1083.583371
-140.279522,1233,1110.493871
-19.358577,74,1111.69076
-383.015796,1407,1133.608645
-583.642114,1585,1165.664067
-722.1076,840,1186.403595
3.9854,226,1189.904479
-66.335334,621,1199.684649
-1140.162638,1000,1215.512431
-70.69319,261,1227.268279
-453.068979,1071,1244.09252
-13.368222,84,1245.408573
-60.498678,545,1253.915965
-698.731323,640,1271.312846
6.304236,75,1272.495777
-116.352901,621,1282.183644
-65.709631,671,1292.608394
-77.313498,839,1313.309085
-14.497315,93,1314.750991
-726.605918,1008,1330.746293
5.978144,403,1337.109984
-32.592251,108,1346.04439
10.23529,61,1347.015761
-95.406933,407,1353.544752
-55.636414,763,1365.507068
10.396618,60,1366.436805
-86.16414,614,1376.087192
-12.802949,88,1384.688925
-34.006602,193,1387.730918
-10.467387,278,1392.078604
-23.127572,294,1396.673807
1.644361,70,1397.753856
-179.248071,774,1409.964261
-306.628921,1023,1433.544592
6.085431,78,1434.777344
-32.129074,125,1436.757195
-86.487848,418,1443.40603
-5.345557,309,1448.260643
15.700738,59,1449.219778
-535.574313,1136,1474.983979
1.874991,173,1477.7557
-12.460728,238,1481.559875
-293.630111,907,1496.141863
-7.964157,291,1508.103673
-138.791708,635,1518.35919
-435.967846,901,1532.53801
-262.324287,1072,1556.73192
-19.354644,104,1558.400726
-121.400387,831,1571.62457
-0.715605,73,1572.787676
14.480381,60,1573.75834
-52.46422,912,1595.781059
-216.009282,1189,1614.724849
-288.054957,443,1629.628591
-138.267322,420,1636.395354
-298.444185,807,1649.279488
-48.696311,226,1652.819159
9.00924,69,1653.906043
-647.999499,1040,1677.82563
-558.611699,1600,1711.349304
-119.514441,821,1724.61299
-203.178052,1545,1757.108206
-401.239579,1600,1790.409188
2.186229,278,1794.879327
-240.676702,888,1809.021797
-15.131918,284,1813.720583
-20.682158,222,1817.279148
1.08238,403,1831.4842
-421.408174,1600,1857.27966
-3.924478,315,1869.653498
-474.428673,1154,1888.470153
-183.479626,384,1894.716773
-143.744586,306,1899.700294
4.092369,261,1911.137684
-931.131896,1600,1937.097486
7.2168,267,1948.711706
-15.334448,599,1958.369178
-133.663598,727,1970.022345
16.056328,399,1976.298404
-359.837109,757,1995.454904
20.941531,186,1998.420521
-79.885699,333,2003.717105
-389.430307,846,2017.473728
31.117477,78,2018.674416
