#{"t_start": 1738090792.4553325, "env_id": "None"}
r,l,t
-226.800816,352,7.597866
-346.216215,440,13.990232
-614.101336,840,26.734175
-342.827172,440,41.459273
-649.860502,920,55.800375
-246.410384,419,62.953412
-356.415746,440,69.795334
-253.056879,403,83.739952
-351.640866,440,90.561914
-575.703837,800,102.926288
-342.556922,440,109.855445
-30.550154,118,111.671678
-344.83828,440,126.294322
-961.077556,1520,150.224759
-875.438295,1200,176.427723
-1027.413451,1240,204.581736
-33.859717,132,206.663906
-57.750157,129,208.652075
-173.101403,303,213.435876
-40.287407,128,215.467488
-59.981215,137,217.637814
-575.402406,1040,241.542521
-59.406939,163,244.042605
-239.275009,396,250.224813
-223.608929,363,255.94687
-720.489945,1110,280.890464
-193.394114,351,286.410413
-651.734038,1600,311.574713
-356.426115,1202,337.863729
-29.134291,99,339.396381
-376.260957,1385,368.957418
-30.032352,92,370.368892
-131.741871,735,381.797873
-85.656681,331,386.927721
-394.176715,1075,411.46285
-963.298065,1600,444.021938
-77.835059,150,446.329797
-523.058495,920,460.761642
-91.832382,225,464.234817
-138.377664,658,481.58199
-621.636478,1600,506.616873
-22.04656,108,508.262501
-41.252548,128,510.224369
-23.533994,251,521.21522
-7.37812,73,522.357452
-2.592128,68,523.424406
-19.879115,68,524.517556
-11.181211,66,525.555135
-66.24147,350,530.908017
-317.806111,1600,563.404553
-76.47024,155,565.823542
-908.573796,960,580.736149
-32.634577,498,588.438406
-277.829741,783,608.14484
-0.454401,58,609.079422
-74.686337,481,616.397788
-29.561116,88,617.765074
-0.273577,52,618.563714
-358.595404,711,636.844914
-25.215369,92,638.267604
-48.001434,586,647.466381
-13.498637,244,651.312343
-19.3886,280,655.75623
-19.041219,65,656.784296
-96.682564,347,662.120536
-401.269221,789,681.877326
-38.788515,240,685.609586
-26.890841,124,687.548801
-142.206308,281,691.840682
-208.434367,1600,723.912558
-19.092908,105,725.564077
-7.675835,61,726.498653
-217.528824,657,736.77755
-9.314851,72,737.90284
-30.828677,85,739.207182
-84.421262,317,744.127329
-152.055668,989,766.813122
-20.982146,369,772.701295
-294.076756,841,793.378061
3.88616,56,794.242399
-382.209971,560,803.137991
-50.78462,427,809.743006
-20.029265,212,813.090853
-111.994903,622,822.880896
-83.275276,569,839.728206
-34.896763,108,841.42997
