#{"t_start": 1737775326.4006083, "env_id": "None"}
r,l,t
145.765604,600,7.751562
-6.598009,142,8.538176
136.555559,220,9.779733
-7.482322,404,12.825164
4.321696,600,18.100549
145.894664,261,29.781774
4.344398,206,31.574945
23.85282,600,36.732044
8.043829,491,40.960877
69.715341,150,42.23101
2.548912,148,43.507054
411.237041,600,58.026565
202.01031,276,60.420831
42.378838,600,65.627758
49.700333,141,66.834819
-1.547653,600,72.051617
139.919713,161,80.439279
44.644918,145,81.203694
97.115189,147,81.964633
97.424724,166,82.846356
40.156044,146,83.595392
203.148851,291,85.055717
62.401411,262,86.458269
3.256122,263,87.907844
-5.232465,490,90.458251
163.554239,408,98.519952
72.099459,150,99.250561
127.103934,600,102.312675
93.663118,141,103.02182
5.493719,600,106.219238
123.527529,268,113.329654
69.140099,156,114.159149
500.029453,600,117.228539
33.121246,136,117.907536
75.012539,142,118.634532
158.2575,365,120.529289
46.335513,141,121.269954
490.817255,600,130.057379
207.6471,324,131.816215
170.591292,327,133.534203
126.554671,219,134.642304
199.52922,314,136.310587
157.462976,351,138.197294
74.971485,159,139.060367
504.572531,600,147.840186
80.645028,173,148.695605
38.253389,144,149.442438
195.488477,269,150.906031
42.63266,136,151.593232
159.992684,291,153.075049
70.148658,144,153.811194
97.25508,140,154.574956
504.873463,600,163.496722
39.077491,154,164.281208
85.132264,242,165.530808
58.084739,220,166.676176
448.948751,560,169.751883
124.685767,307,171.36627
227.337643,344,178.68526
157.578659,262,179.969624
99.779544,241,181.181396
151.07901,229,182.371352
364.86419,600,185.487879
73.872923,144,186.238325
180.36593,222,187.439912
90.854844,145,188.187731
111.323931,160,189.023429
146.171583,211,196.057367
52.435527,182,197.016504
186.287192,259,198.373856
165.539667,204,199.414846
96.217137,156,200.250244
216.932072,600,203.362547
85.259888,138,204.10713
150.085366,488,212.535991
175.599278,239,213.733653
338.804721,502,216.370018
522.942474,600,219.44474
115.063646,159,220.254785
119.08155,297,221.763995
114.210731,600,230.793706
187.02228,264,232.166301
77.501308,140,232.878393
103.028192,279,234.321363
89.54706,142,235.034448
82.02868,138,235.749242
158.185036,290,237.241083
186.157678,277,238.645143
94.02463,213,245.626823
77.385723,137,246.338291
235.903447,279,247.842061
156.434613,600,251.056353
66.773832,157,251.872082
90.550435,140,252.602668
147.874982,269,253.991978
151.125152,231,255.215437
145.114398,213,262.347922
523.963884,600,265.554245
248.768643,362,267.424282
127.06818,271,268.833066
176.525487,389,270.890909
126.958889,328,278.39607
180.402096,307,280.014808
128.494909,156,280.889278
488.471526,600,284.004665
83.557041,175,284.934573
153.911911,245,286.225221
194.165382,269,287.64478
147.417018,242,294.816239
90.356626,165,295.675845
66.565147,136,296.403516
177.063539,273,297.827311
213.189541,600,300.977579
190.928391,292,302.578014
153.503766,203,303.653319
152.110733,206,304.745727
576.877082,600,314.074147
517.790217,600,317.242643
157.811589,205,318.3589
73.799782,189,319.33529
183.014676,229,320.520259
74.744049,141,321.290663
161.293622,224,322.450048
131.607107,179,329.262045
510.676661,600,332.444434
175.963713,259,333.789089
89.732413,143,334.548457
161.090593,278,336.004846
138.014566,249,337.285864
80.83384,138,338.001605
109.780584,157,338.832674
265.355335,386,346.72139
560.045824,600,349.868162
125.835651,233,351.124591
164.824356,209,352.245387
158.090608,231,353.488559
74.592191,138,354.20274
526.670082,600,363.068804
139.794955,401,365.196945
127.822539,242,366.471205
206.4323,600,369.62577
130.064996,206,370.71202
84.135797,183,371.706441
108.491156,179,378.603409
196.384838,298,380.177395
182.273199,276,381.650674
95.684658,198,382.725171
180.39651,217,383.87157
89.505167,151,384.689403
169.481316,206,385.803686
137.693155,180,386.778816
253.574251,378,388.87198
135.718147,179,395.654933
544.599191,600,398.769987
559.73009,600,401.922416
167.134492,229,403.143885
195.619668,243,404.449723
100.960232,155,405.246318
102.677338,152,411.998105
544.460294,600,415.142658
171.10419,600,418.378922
255.993364,308,419.970325
86.86311,169,420.872831
216.50006,577,429.982365
144.112155,254,431.355323
170.829374,230,432.609502
172.079939,249,433.928164
93.483238,139,434.649946
191.76949,294,436.19824
553.237975,600,439.357819
80.023122,156,445.890755
245.551851,600,449.089623
99.10121,200,450.127814
143.169695,255,451.444595
161.048535,259,452.828324
164.550511,238,454.113121
206.550651,257,455.507629
46.589779,214,462.315886
132.476002,171,463.220291
220.844357,302,464.868955
92.029449,165,465.719924
160.69954,478,468.222156
63.400696,152,469.01463
270.718092,382,471.077243
165.272217,277,472.546007
152.230728,251,479.925157
548.564681,600,483.154337
219.499013,348,484.978656
512.765733,600,488.221731
215.334537,307,495.995996
132.145857,245,497.304683
190.071429,261,498.666905
85.389273,144,499.409053
194.401568,274,500.892596
99.747416,153,501.710943
112.183777,159,502.590179
104.899065,153,503.409414
550.666765,600,506.544061
113.072934,194,513.535815
119.41921,171,514.433082
103.709556,213,515.545528
145.831503,165,516.435116
64.255418,147,517.220577
61.771516,146,518.024347
539.492503,600,521.269454
77.980391,154,522.089952
86.748759,151,522.870051
83.909896,137,523.590507
132.222036,166,530.112393
115.668019,149,530.895522
184.623476,264,532.28593
149.978824,221,533.503225
193.030144,336,535.305495
80.880116,136,536.009553
564.759911,600,539.22484
71.031811,158,540.092553
247.302356,299,547.770746
545.86121,600,550.98419
99.993239,202,552.075832
235.194228,472,554.584221
239.863356,355,556.489284
77.209031,148,557.277521
100.298699,234,564.234671
207.109371,334,566.006082
59.33341,155,566.816679
101.689728,148,567.60348
101.914309,141,568.370483
171.692564,241,569.642905
98.471281,150,570.425582
558.953733,600,573.616653
286.170118,460,581.957429
129.667208,182,582.909217
86.289909,152,583.708854
527.186609,600,586.875629
566.52703,600,590.189126
78.603053,144,596.796894
97.429868,159,597.665763
175.796301,295,599.223828
87.219144,150,600.0292
568.447196,600,603.15235
180.768146,279,604.641454
134.451822,252,605.995188
84.54912,164,606.849335
111.454883,175,613.981943
458.837098,600,617.199687
85.221787,163,618.108759
94.220646,153,618.945042
185.702953,312,620.567783
82.751762,156,621.398611
191.206397,225,622.582879
93.598775,153,623.401972
92.447548,150,624.206816
162.762163,345,631.952828
154.750308,201,633.024338
107.901454,155,633.874577
157.824718,296,635.442191
90.742375,145,636.198684
153.062621,304,637.811698
154.697245,374,639.805533
133.202842,165,640.710827
176.345144,274,647.991023
546.360533,600,651.135681
281.962528,372,653.091317
343.856698,451,655.457777
108.237044,173,656.39115
562.161276,600,665.561325
498.132149,600,668.784906
123.609384,159,669.637871
85.416972,155,670.457686
112.253436,158,671.290723
113.735453,202,672.391867
158.875011,287,673.912419
87.932188,147,674.697122
104.530005,183,681.567923
537.714815,600,684.782466
160.75294,287,686.290846
107.961887,158,687.144138
171.564954,276,688.603194
173.672833,600,697.51839
537.0682,600,700.676815
215.340809,262,702.08464
