#{"t_start": 1737775326.9584036, "env_id": "None"}
r,l,t
32.122385,327,5.643539
128.003617,204,6.796912
44.847563,152,7.642516
5.406034,600,11.523326
166.412414,600,16.819448
135.511808,304,28.874585
60.062544,164,30.300036
99.883951,336,33.158806
88.094069,240,35.269853
26.141238,148,36.528195
151.831972,290,39.000469
75.804449,600,44.166823
47.906277,600,58.73807
17.091002,600,63.890382
325.82495,600,69.100434
322.002775,600,80.744044
124.381613,303,82.337652
32.057606,159,83.157662
18.859788,275,84.532871
7.312452,600,87.797229
232.084945,405,89.879976
121.610922,316,97.489332
81.361353,326,99.099201
353.9161,496,101.631944
72.367403,167,102.483284
107.705744,149,103.25756
154.556921,272,104.711258
146.855935,267,106.1555
-3.175265,166,112.708685
15.702601,140,113.447096
53.046928,286,114.919895
385.28626,600,117.973068
220.370663,269,119.350623
378.554233,600,122.541713
29.285678,149,128.974423
461.814402,600,132.170097
230.127398,320,133.799891
99.89218,183,134.733517
91.716265,156,135.540904
126.034038,175,136.518684
128.835428,230,137.76804
79.193856,185,138.758486
92.815143,355,146.286796
121.391329,152,147.049808
125.865502,280,148.465841
260.177701,600,151.604617
50.627112,152,152.37951
207.66426,270,153.805448
126.634936,242,155.071078
111.976319,295,162.404184
107.619782,166,163.265488
551.15636,600,166.366146
69.203661,204,167.458227
76.441132,208,168.6091
90.580967,373,170.618525
477.591716,600,179.213812
248.442422,317,180.806693
181.66077,296,182.343248
36.953532,167,183.211167
177.551631,300,184.760032
124.433853,151,185.557416
510.346711,600,194.635711
129.923131,173,195.552299
113.049797,271,196.983037
149.870821,279,198.417163
95.771124,160,199.257306
230.486383,309,200.913467
68.789569,135,201.586237
198.415845,350,203.416997
99.129469,144,204.181335
460.574236,600,213.134817
145.018662,324,214.838389
516.184908,600,217.910951
-1.680073,145,218.671783
55.524132,148,219.437202
49.193452,169,220.289646
14.280919,138,220.994414
127.64151,175,227.769097
213.324677,291,229.294134
201.24569,281,230.79956
207.544024,502,233.378368
249.556689,517,236.01512
543.66758,600,244.974065
182.019038,600,248.175855
290.867445,398,250.296254
149.627339,260,251.654844
252.470261,361,253.531539
548.239346,600,262.727424
202.554584,245,264.030908
69.64848,140,264.78666
22.996206,148,265.551625
88.489474,162,266.406618
303.020411,457,268.755665
481.70956,600,277.721292
79.180836,151,278.514049
525.852406,600,281.716438
103.528727,152,282.479033
55.751179,143,283.233505
220.304336,381,285.251432
215.385378,305,286.856677
186.571521,271,294.186451
44.448476,142,294.905875
159.015537,222,296.111988
63.310093,138,296.823345
75.966778,151,297.612039
539.95078,600,300.782447
194.801204,600,303.995545
121.894295,202,311.194681
138.105873,267,312.60505
188.15413,261,314.027658
128.743581,169,314.933496
155.79154,250,316.218176
91.037376,165,317.109629
76.836716,151,317.93401
286.255302,341,319.690103
114.426387,169,320.594183
172.453163,233,321.809028
91.450712,157,328.473224
522.609427,600,331.696455
130.18044,169,332.550446
206.232362,278,334.032678
115.030092,194,335.044392
184.51794,274,336.458466
502.173492,600,345.455597
171.911232,285,346.960541
229.200208,320,348.639145
100.085548,147,349.421956
210.658029,442,351.790493
273.153584,354,353.667699
107.577793,206,354.818394
94.815853,207,361.535387
511.401613,600,364.725418
85.760243,154,365.525164
191.088643,279,366.996209
186.046133,248,368.331505
121.271129,221,369.467044
60.094006,147,370.249625
262.864258,304,377.825228
121.257665,233,379.06564
94.071712,138,379.799021
153.163576,239,381.064144
250.318319,319,382.786244
80.188709,173,383.694101
133.141966,144,384.491283
110.775777,153,385.31327
89.814296,213,386.484383
555.657847,600,395.557679
96.476455,144,396.303606
118.802708,189,397.29889
209.485032,251,398.597647
544.051901,600,401.742798
