#{"t_start": 1737948298.5346088, "env_id": "None"}
r,l,t
103.148622,440,3.976156
96.444478,440,7.112358
117.051863,440,10.202434
96.914421,440,13.351339
133.039597,440,23.63748
116.930156,440,26.705637
128.447781,440,29.750998
91.7738,440,32.887264
92.644841,440,35.961929
78.570655,440,46.386865
136.869862,440,49.527743
126.11642,440,52.689279
147.094514,440,55.790104
127.870848,440,66.295294
856.881131,2379,91.181129
294.458938,1160,99.857288
380.905965,951,114.284931
77.692163,138,115.308983
62.462616,94,116.020659
176.379619,374,118.884464
76.063983,132,119.846578
82.64764,149,120.980017
74.805577,117,121.886097
215.381883,470,125.423645
105.546851,210,134.497848
67.759697,96,135.268169
69.214498,108,136.120596
325.079834,1480,147.826705
199.965797,392,158.296025
47.890249,47,158.675478
67.901571,96,159.493031
72.993744,114,160.368913
76.767041,130,161.374063
191.725829,414,164.680638
144.832026,292,166.94506
68.427938,92,167.671107
62.033718,82,168.319971
62.679946,79,168.941008
55.004117,76,169.589415
66.625865,89,170.303627
65.824516,90,171.030246
159.888142,315,173.526199
56.60275,75,181.714708
64.870553,88,182.444123
50.488912,60,182.945419
834.744371,2215,208.037179
65.893727,94,208.748283
77.211751,130,209.810873
75.530927,116,210.733246
80.471462,124,211.77399
54.526275,71,212.363125
721.600074,1795,234.141815
284.585487,880,241.194269
90.628334,125,242.183907
60.800704,78,242.808914
66.362827,95,243.532673
68.459609,91,244.252107
49.561704,57,244.706094
64.120989,86,245.394337
406.153547,1280,262.841292
69.451409,84,263.48417
65.325583,82,264.139579
53.100131,62,264.644092
392.472983,1200,281.7659
154.822455,640,286.858822
85.470725,116,287.807368
66.167774,90,288.521099
61.806507,89,289.211481
70.134317,95,289.99517
72.726013,104,290.82885
59.737201,82,291.492249
61.010848,79,292.110671
53.43731,68,292.646287
75.881113,117,300.985883
86.563173,145,302.178525
340.188215,1120,311.204521
533.232954,1398,330.096336
127.482051,680,335.440862
405.322703,1280,353.383821
72.079035,97,354.154711
274.266257,632,359.241424
56.742811,75,359.841053
71.619381,108,360.691084
132.851197,307,363.124419
88.876549,155,364.363899
74.764617,118,372.734365
76.546519,116,373.667701
62.792244,82,374.298888
107.958019,198,375.849261
57.529657,71,376.414328
71.433865,115,377.326223
60.854439,85,378.008685
69.379767,99,378.848638
71.509675,107,379.712022
77.97194,124,380.694932
726.134863,1715,402.11622
74.902691,111,403.00985
391.673734,1520,422.956446
109.998615,191,424.446052
81.751696,142,425.567043
185.387919,720,431.449524
82.184193,122,432.43256
99.550325,183,433.932298
70.892535,116,434.850159
278.639969,745,448.177149
738.612018,2040,472.661529
100.607394,165,473.979315
419.170166,1440,493.289462
179.786938,600,498.123883
387.948403,836,504.857605
100.265122,188,506.357564
67.195989,103,507.224272
71.028252,113,508.108487
109.538338,201,517.468018
91.089212,160,518.801894
77.948947,127,519.870067
450.912403,1185,529.420282
109.275484,204,531.037645
253.598796,598,543.336677
82.801968,135,544.450192
88.558566,154,545.70556
308.735432,776,551.880094
76.998573,139,552.951021
83.483305,140,554.069249
850.924016,2116,578.058517
90.768694,162,579.305908
291.189057,760,593.142857
79.775282,123,594.109973
114.457616,223,595.864726
328.26902,840,602.623227
279.647809,760,616.232933
246.418683,600,620.990568
386.861506,1000,628.964298
72.278812,120,637.132246
150.924708,308,639.582094
803.092097,2400,666.293893
366.535266,867,673.202525
414.181753,1080,689.075895
93.170307,167,690.377696
198.656991,449,693.819809
251.005254,640,698.783723
168.943825,440,709.719168
308.84468,800,715.944211
299.355227,760,721.8922
141.043949,291,731.792493
265.861544,680,737.109127
157.314837,326,739.657858
357.303089,745,745.503473
250.614451,640,757.770177
249.024196,640,762.78755
230.839434,600,767.421694
152.375826,323,770.011717
297.179378,760,783.379087
226.924485,560,787.667466
151.022961,334,790.290575
224.586654,560,802.174934
71.336508,120,803.125784
176.15627,355,805.908466
117.461999,245,807.831336
88.042964,162,809.112426
