#{"t_start": 1738343511.5557818, "env_id": "None"}
r,l,t
40.676166,59,4.44645
33.38129,800,10.227247
35.692781,57,10.612447
-1.863805,800,16.356521
41.169336,132,17.529231
53.538004,147,18.856097
4.751262,800,30.759105
54.702747,142,31.738023
24.426394,800,37.393721
36.955794,78,37.967367
94.439565,800,51.8674
43.939746,798,58.01125
37.317426,76,58.596686
36.905391,71,59.155454
9.872792,800,70.566471
47.726474,335,73.036705
47.311905,147,74.068378
36.500215,70,74.569187
36.970942,800,82.324338
40.394401,800,94.484571
27.143044,522,98.690303
11.424251,800,105.837921
-13.056203,800,117.879562
3.168251,800,125.63363
68.827784,800,131.505834
27.303189,800,142.879739
73.599999,800,148.898932
21.315298,800,163.444937
9.617392,800,170.277601
35.991576,800,176.480433
-20.508115,800,188.616973
41.539376,800,194.618765
39.818612,800,208.634642
28.627088,800,215.710428
66.837248,383,218.526065
39.139848,60,218.972205
37.601283,110,219.81103
39.49887,62,220.265162
75.000216,290,222.635459
99.137886,706,234.11067
51.328765,542,240.291291
40.520525,59,240.731476
42.083546,71,241.302099
42.243174,101,242.079021
40.331875,190,243.482651
30.609395,800,256.215814
43.936882,171,257.663906
41.671942,106,258.432841
50.914456,284,260.473937
37.31999,800,269.911805
44.204321,250,272.060916
38.542096,172,279.283611
19.897484,800,286.438514
11.011831,800,293.158368
25.750811,800,307.055816
18.307013,800,317.781264
36.66002,800,326.070708
42.802541,66,326.623513
22.377213,800,339.348758
63.437758,800,346.397643
60.609483,289,348.550443
30.50954,800,364.36241
49.603249,116,365.408077
42.802498,71,366.080027
52.342114,118,367.096467
43.657518,800,373.695531
73.896891,800,385.70801
41.277667,68,386.28947
63.681551,800,395.862114
67.56316,800,410.418804
43.636767,67,411.016317
57.734562,229,412.905354
42.750463,170,414.36516
-25.837894,800,421.03884
16.795468,800,434.226914
28.924256,800,443.230601
47.009874,201,445.012157
44.047684,69,445.752252
51.953199,124,447.024793
7.953849,800,460.354043
107.936838,800,466.557437
53.67316,74,467.319824
26.714295,800,476.977395
47.017856,121,478.218593
-13.503694,800,491.329998
103.151854,800,498.276335
15.604206,800,511.601632
23.067207,800,520.574574
98.032932,800,527.266032
30.604136,800,540.009712
58.167036,237,542.375036
36.539997,800,549.544372
30.201998,800,564.395199
46.976077,61,564.910009
35.342054,796,572.012081
