#{"t_start": 1738343511.2406392, "env_id": "None"}
r,l,t
82.217715,308,6.481495
46.342555,800,12.236975
36.569163,69,12.691693
1.426382,800,19.002991
4.787308,800,30.953838
-4.541637,800,36.523081
44.676727,63,36.95558
35.48781,84,37.610482
35.023232,79,38.192414
39.513607,79,38.769058
26.801198,800,52.709904
50.980684,379,55.600721
49.678823,406,58.743936
31.978776,329,61.146369
34.810055,81,61.705171
37.818786,71,62.193453
59.620845,800,73.732482
38.040611,71,74.218599
13.236677,800,81.933541
76.368099,533,85.895777
36.485245,66,92.479178
-1.636438,800,98.879322
41.265457,95,99.58656
31.198745,800,106.905301
37.991746,66,107.37726
39.328301,126,108.277428
56.924522,444,117.524088
35.83838,800,125.367087
52.663927,149,126.42493
21.852045,800,137.891186
37.742113,73,138.391908
-28.034111,800,144.156052
33.572363,800,150.281383
30.166715,432,161.638882
41.855655,800,168.868332
72.94686,800,174.901058
52.040279,800,187.212437
-16.019402,800,193.312051
59.420217,800,201.300097
0.392156,800,213.825991
14.34852,800,220.252336
37.433159,282,222.455625
16.655153,800,234.727166
69.995352,332,239.36348
40.588076,73,239.921527
43.713304,88,240.540003
48.394363,127,241.513399
43.514333,76,242.139506
66.229346,238,243.876373
48.196411,121,244.905436
40.383649,65,245.532854
42.544246,77,246.19929
19.018315,800,258.727036
21.233597,800,265.46842
80.038291,426,271.528108
57.374762,800,284.563534
22.235727,800,291.220672
28.431298,800,304.421863
42.008846,78,305.044668
3.430926,800,316.565364
72.567709,800,324.388674
48.66437,71,325.153686
64.331481,800,338.1212
65.591743,800,344.921962
42.293759,86,345.769696
51.177268,100,346.596511
42.482803,92,347.279468
23.187862,800,362.874793
41.984229,80,363.540457
21.490564,800,370.750663
85.636858,690,375.843343
41.950928,81,382.53213
47.831323,108,383.25896
37.368148,800,390.140307
-11.282347,800,399.962493
86.488885,800,413.873712
28.671546,800,420.430059
43.797097,75,421.142432
51.961332,135,422.526191
82.764048,256,424.687973
43.964535,102,425.57999
40.707702,83,426.340401
55.194936,265,434.750643
66.849574,800,443.759696
51.388586,128,444.871339
44.453525,65,445.503987
29.480775,800,453.254102
44.219953,72,453.82941
0.977111,800,465.849886
63.717504,223,468.064525
25.60238,800,477.751595
49.070091,270,486.351224
-35.514154,800,493.433289
36.389361,800,500.28823
31.154155,800,513.812349
32.671494,800,522.700985
44.117122,65,523.30384
57.346447,800,529.529286
52.753154,255,537.752697
42.050141,89,538.592941
47.199634,65,539.19842
106.688972,800,546.471641
44.644314,690,553.058249
51.134585,231,562.894549
43.203206,165,564.086061
47.105533,63,564.561007
24.752741,800,571.694027
27.803983,800,579.225785
48.10827,70,580.014997
29.152174,800,596.825042
44.742969,68,597.466101
45.872039,57,598.09683
47.813648,64,598.921777
46.556623,68,599.656312
33.42629,800,607.963343
67.851801,800,620.959714
24.62125,800,628.133113
46.657846,84,628.969721
45.020506,83,629.864807
40.118061,800,645.412462
49.088659,73,645.983267
38.196994,800,653.834061
51.346837,800,662.598916
61.212609,166,670.555125
57.511189,186,673.01523
48.665124,87,674.140531
50.733756,800,682.828893
41.11853,800,693.203173
32.92813,800,707.240701
26.140174,800,714.178457
52.752722,68,714.88502
42.781727,800,729.088514
59.265073,99,729.904702
28.244667,800,739.425661
50.78919,78,740.165658
48.479808,68,740.765567
49.229502,74,741.445503
25.536812,800,754.428812
49.207088,77,755.014976
62.041089,232,756.904346
53.136215,329,760.133007
30.080676,800,767.359972
49.293835,87,768.052023
48.558971,61,768.578158
43.555028,265,773.114514
34.302274,800,786.057001
48.957313,61,786.965374
111.062474,800,795.988932
53.810776,89,796.991417
49.432444,79,798.088184
43.479682,800,812.835991
50.075862,64,813.425146
50.513626,309,816.156468
51.16921,800,826.379659
73.415515,232,828.343467
27.573757,800,842.829279
51.444021,73,843.701258
46.080071,222,845.701195
59.008647,247,847.748314
89.572291,800,855.151628
81.630333,800,872.58387
51.903611,86,873.685941
17.760511,800,881.277518
132.100673,543,892.499819
31.522824,800,900.204836
62.179367,247,904.290207
33.438918,800,912.308619
40.869367,800,925.351907
-32.132156,379,928.573814
45.595161,800,938.872795
52.193433,373,948.77341
31.046285,800,959.170976
66.639807,193,961.667561
49.606166,127,963.508979
38.774663,800,978.345601
46.705286,249,980.674434
0.873613,800,988.240756
60.378831,59,988.979926
39.132542,800,998.852219
53.324376,81,1005.746885
55.533106,272,1008.498302
14.687837,800,1017.747651
28.200079,800,1025.871622
26.199283,800,1040.592726
54.891017,69,1041.070179
92.411283,451,1045.095645
52.71252,800,1053.601646
41.333586,800,1067.762166
52.071741,62,1068.696578
36.005561,800,1079.833989
53.671488,70,1080.65059
81.801514,800,1098.880182
53.240444,68,1099.591519
54.232695,70,1100.211487
49.008785,800,1107.438524
-7.199829,800,1120.854156
84.995883,800,1128.829448
54.543894,145,1130.272226
51.997331,300,1135.264674
91.393568,324,1138.470544
84.794648,372,1148.179536
77.775724,800,1155.598055
65.804615,177,1157.240966
68.20796,171,1158.840656
57.19858,75,1159.55852
46.139817,800,1173.74032
-22.982354,312,1176.947641
57.594169,227,1178.955854
57.086789,62,1179.519702
66.697932,255,1184.187279
58.086982,72,1184.812052
53.999225,60,1185.45145
65.002423,205,1188.139272
71.456153,189,1190.166151
52.164924,71,1190.87213
39.252921,800,1204.158672
82.072715,800,1212.157425
57.128321,72,1212.727784
56.698859,800,1223.119282
60.437605,90,1223.806563
36.425109,800,1237.816958
42.013749,800,1246.97235
61.272772,800,1259.977605
47.699982,800,1269.901551
57.657905,66,1270.582762
58.733872,70,1271.482893
45.524552,800,1279.625739
57.405604,125,1286.902229
52.235448,800,1294.634765
29.170078,800,1303.061679
61.713408,126,1304.397562
4.086249,800,1320.677665
66.01276,133,1322.329937
39.330093,800,1330.528735
42.631281,800,1344.062098
55.016622,800,1351.648329
61.156213,127,1353.15465
65.50135,279,1358.252948
39.43012,800,1373.905072
60.925614,74,1374.573544
60.173194,66,1375.181316
42.172717,800,1382.762206
37.003086,800,1389.915704
58.594048,117,1397.0523
60.276478,345,1400.51547
62.349872,77,1403.203525
60.191434,70,1403.832842
111.226765,800,1411.862908
67.401302,141,1413.80725
59.947213,88,1415.042977
51.631188,800,1428.810104
60.391131,65,1429.451322
-41.308106,800,1439.569529
47.427519,800,1450.025948
49.775828,800,1464.022731
82.147408,249,1466.301852
45.134839,800,1477.071042
73.843566,308,1486.547045
47.417658,800,1495.51166
58.460229,73,1496.414705
48.64594,800,1507.516029
64.406421,277,1511.217263
64.112387,121,1519.1999
76.811689,223,1522.281531
44.356991,800,1531.587049
96.195561,251,1533.73102
60.51694,100,1534.574824
54.968527,704,1547.996874
66.082033,285,1553.38622
44.320753,800,1562.671064
73.520161,117,1563.83273
61.878873,800,1578.976592
71.979961,800,1588.521725
62.679993,75,1589.388649
62.894742,59,1590.030258
72.68931,259,1592.315025
61.839598,68,1593.023641
77.380139,800,1610.528585
49.316748,800,1618.862662
56.228145,800,1626.800553
64.787644,73,1627.458142
62.016942,72,1628.070939
43.798436,800,1641.698431
67.115709,113,1645.045903
64.003977,70,1645.828501
55.687126,800,1653.927556
49.678521,800,1668.545109
52.470694,800,1676.13463
78.681333,139,1677.350597
41.591361,800,1691.14729
62.813337,80,1698.412739
64.299169,100,1699.820753
81.453002,570,1705.807963
72.842511,140,1707.115757
71.249849,353,1710.123607
90.376769,336,1713.589664
79.808882,334,1716.577254
65.41234,358,1727.111309
75.843689,472,1734.103695
72.789757,118,1735.101183
64.980639,83,1735.911038
42.949866,800,1747.163227
82.450384,167,1748.571172
49.922288,800,1762.258688
86.485821,800,1771.534946
66.341754,75,1772.66967
12.763409,800,1789.639328
63.317208,670,1797.20276
69.361802,135,1798.6518
91.39292,800,1807.088824
-0.697999,800,1819.632513
77.576681,800,1827.125338
47.914262,800,1844.648348
97.548189,800,1853.176692
52.702102,800,1862.277513
61.778467,74,1863.382704
56.286569,800,1878.952208
92.007436,800,1887.507652
67.78855,81,1888.163196
74.84587,298,1890.837514
78.615377,216,1892.960767
67.815471,250,1901.182923
67.585477,72,1901.874587
68.392436,800,1912.548356
66.972318,97,1913.666311
49.428215,800,1925.292178
80.129976,800,1941.170758
68.055855,264,1943.446122
97.576377,800,1952.234167
55.102345,800,1967.526929
96.820221,800,1981.41596
49.482412,800,1994.766933
70.790617,126,1996.33983
68.076082,800,2003.509906
76.913279,742,2012.885688
68.584097,74,2014.43126
71.743388,135,2017.250045
88.329274,800,2033.102698
128.017146,458,2039.039148
34.544142,800,2047.266217
49.810739,800,2060.20831
59.363464,800,2070.226089
84.276393,150,2071.59357
59.858475,800,2086.076926
76.591256,800,2094.529796
59.238686,800,2102.174049
90.070981,635,2114.280007
65.303615,800,2124.113191
69.392072,61,2124.625269
85.468057,342,2127.96955
92.461939,487,2139.710628
80.136789,263,2143.038553
59.080538,800,2152.252715
61.99147,800,2166.629648
73.054888,106,2167.598817
67.228358,67,2168.131363
50.102369,800,2178.93844
68.896465,63,2179.683568
49.098109,800,2188.367605
88.23137,800,2201.882802
60.087361,800,2210.537917
0.387429,800,2227.057889
99.547242,514,2232.283926
17.337206,800,2240.835545
124.475071,800,2254.472258
59.038392,800,2263.447371
71.513097,800,2272.356076
80.056545,232,2281.984939
70.510967,67,2282.920105
63.537778,446,2288.663783
79.601104,147,2290.256028
111.893736,800,2299.816804
86.480864,227,2302.109236
70.313798,74,2303.121979
19.805435,800,2319.327249
80.364707,800,2327.738695
49.639592,800,2343.993114
87.622538,268,2346.725641
67.180169,251,2349.226697
-17.642462,800,2359.069234
15.611021,800,2375.513021
53.914962,800,2384.426471
81.446545,194,2386.477972
58.18713,800,2395.437265
