#{"t_start": 1738069470.4632535, "env_id": "None"}
r,l,t
-442.058766,440,7.426477
-406.977711,440,12.054926
-380.483022,440,17.11582
-350.550831,440,21.826782
-353.9531,440,33.799582
-371.369237,440,38.716912
-348.505448,440,43.418656
-397.070145,440,48.1757
-358.955562,440,52.851786
-366.924489,440,64.698388
-355.799783,440,69.344314
-184.445468,290,72.435588
-355.230979,440,77.17037
-392.386157,440,81.917912
-406.268017,440,94.366976
-381.376941,440,99.115841
-355.097208,440,103.860573
-365.295107,440,108.627687
-398.790655,440,120.984812
-356.883768,440,125.731192
-449.445051,440,130.496053
-350.070505,440,135.329116
-400.044508,440,140.089931
-422.001133,440,152.523963
-386.679526,440,157.905833
-391.110048,440,163.093721
-360.670081,440,168.560355
-351.96223,440,174.124369
-370.729132,440,188.721118
-295.997156,411,193.437442
-371.18329,440,198.382748
-359.287247,440,203.365171
-353.563346,440,215.918451
-90.466344,159,217.758919
-354.751158,440,222.762664
-356.1017,440,227.768348
-365.689742,440,232.799601
-268.398123,362,236.957818
-355.543974,440,249.40209
-352.207769,440,254.338547
-593.111083,1480,279.037603
-1085.583514,1560,297.36644
-273.443376,692,312.80657
-36.471967,83,313.745927
-94.121375,141,315.340596
-950.864029,1320,330.994605
-829.915944,1600,357.886687
-95.318016,167,359.892075
-38.344352,83,360.889926
-64.407147,126,362.336365
-43.814683,106,363.546741
-733.917523,1080,384.11203
-97.052104,423,389.118362
-913.670958,1600,418.512924
-1552.252781,1600,448.853943
-25.931465,69,449.74422
-44.540141,95,451.008327
-775.726594,1600,480.811451
-266.677398,633,489.272263
-123.891211,393,494.458279
-15.905405,53,495.155527
-48.73974,100,496.618541
-32.167201,75,497.604079
-39.991986,86,498.737136
-911.544106,1600,528.331139
-472.488226,1040,551.026335
-22.726568,78,552.00437
-992.418598,1239,568.509768
-37.78647,81,569.564211
-60.911807,103,570.914782
-76.640796,114,572.42798
-508.677211,1135,596.399704
-1225.16597,1600,626.290018
-75.559804,139,628.002932
-37.00927,85,629.177262
-8.990947,46,629.767105
-43.628961,92,630.925556
-38.24542,74,631.769049
-11.612537,53,632.531048
-913.776042,880,643.92617
-1093.347109,1188,668.932189
-27.711359,73,669.877195
-26.761817,73,670.814377
-833.772654,1200,695.472819
-13.278572,64,696.349462
-50.13509,106,697.80241
-1043.78912,1600,718.698097
-18.000098,65,719.518297
-19.922602,64,720.419305
-14.642306,61,729.960475
-855.406641,1600,751.291609
-21.639918,66,752.126062
-21.27687,61,752.966263
-1184.210921,1600,779.751793
-37.9913,107,781.014113
-795.02012,1068,800.544917
-404.50882,700,809.038827
-1120.925968,1174,830.305285
-14.771648,61,831.006159
-31.729485,73,831.843602
-87.614148,333,835.910269
-1041.763583,1040,847.929623
-31.814074,94,849.032865
-37.569884,76,849.931941
-898.711501,1000,868.723405
-8.13861,57,869.368014
-371.731437,851,879.214704
-59.999876,287,889.97657
-13.764957,51,890.590294
-23.532838,66,891.344779
-850.603831,1600,910.213426
-1.624909,41,910.7623
-17.027875,55,911.480871
-29.245893,72,912.419786
-24.361678,65,913.257497
-38.116206,85,921.470529
-15.99478,63,922.190189
-136.139227,321,925.890265
-1692.853018,1600,944.73906
-7.471038,51,952.8994
-198.499012,870,963.486103
-714.015036,757,972.43373
-27.305284,71,973.294784
-37.201612,86,974.339534
-73.283527,99,975.567407
-14.878648,52,976.207779
-761.051041,1600,1002.42404
-528.374418,1187,1024.038946
-29.88429,82,1025.042893
-1253.094669,1360,1048.813183
-276.797649,779,1058.268564
-25.46234,69,1059.088709
-23.334142,62,1059.846761
-9.708033,45,1060.360022
-27.689511,67,1061.125367
-23.484488,62,1061.810961
-937.609951,1448,1086.443318
-893.802085,1253,1101.467465
-34.360871,82,1102.502101
-17.871038,64,1103.300221
-789.535712,680,1118.912165
-10.654487,80,1119.971391
-15.425369,58,1120.704571
-598.48368,1600,1147.043992
-18.211769,61,1147.79156
-15.458957,47,1148.353615
-611.398585,720,1157.165046
-21.837736,62,1157.866958
-65.988415,281,1161.107279
-19.912242,61,1161.824631
-21.249325,52,1162.465426
-20.337528,65,1163.189965
-56.396473,315,1166.890905
-862.299317,1320,1189.80513
-8.596326,58,1190.466928
-14.319501,50,1191.035037
-24.613719,62,1191.721725
-47.379314,198,1194.06549
-1152.014561,1320,1217.204114
-27.587278,58,1217.988999
-7.360662,46,1218.608017
-37.570371,93,1219.836871
-68.996604,206,1222.568842
-25.905444,67,1223.460764
-46.454986,83,1224.556347
-18.535415,67,1225.436328
-39.824405,82,1226.506658
-893.666366,720,1242.52667
-1724.81655,1600,1262.194869
-2.681678,48,1262.749907
-773.569178,1600,1289.17478
-865.069455,1600,1315.034966
-16.061033,61,1315.7613
-17.684598,64,1316.550525
-26.111274,73,1317.44754
-16.737289,57,1318.103583
-34.391497,75,1318.962109
-46.276394,74,1319.825026
-141.231412,284,1323.186093
-23.120033,67,1324.031015
-919.012812,1600,1349.954096
-14.40282,75,1350.860496
-18.640621,58,1351.499198
-1233.06991,1600,1377.816777
-31.840753,79,1378.86587
-707.636349,840,1389.797114
-276.288293,498,1402.984445
-814.577544,1560,1421.582776
-181.869982,407,1433.588901
-37.246635,73,1434.470228
-35.61439,70,1435.350473
-19.501272,62,1436.07446
-805.09563,1200,1450.370266
-394.991506,619,1464.809171
-11.740171,72,1465.633747
-567.419764,1032,1478.550877
-37.844618,179,1480.85457
-21.369801,59,1481.552917
-742.336036,840,1499.153802
-7.932556,64,1499.904778
-745.213969,600,1507.159304
-25.979753,74,1508.095815
-15.391435,57,1508.833788
-15.640541,58,1509.566529
-469.291239,867,1519.758781
-14.767911,57,1527.678969
-29.470882,68,1528.440492
-58.305083,83,1529.396269
-25.784418,63,1530.089934
-65.162602,437,1535.093403
-35.461886,212,1537.569252
-32.188366,71,1538.407608
-37.305905,84,1539.371907
-497.836133,1030,1558.597151
-678.815941,680,1567.115962
-123.620339,558,1573.851908
-101.665168,247,1576.741561
-12.907346,51,1577.356448
-159.270807,184,1579.567762
-875.082117,1360,1602.92569
-81.191497,654,1610.53391
-22.380023,65,1611.304826
-14.91408,59,1612.008557
-28.444107,67,1612.836242
-23.710882,62,1613.559687
-9.07414,147,1622.876019
-23.489052,373,1627.325768
-22.711725,64,1628.150168
-21.533109,56,1628.937005
-893.570508,1000,1641.307396
-1199.543999,1520,1667.213883
-879.523773,1600,1695.084543
-136.885909,735,1704.357383
-265.191011,819,1722.083827
-417.856799,1600,1741.946035
-14.805017,63,1742.741298
-5.59168,48,1743.345659
-421.581182,1600,1770.711965
-622.486896,720,1786.282024
-1387.750742,1600,1807.47844
-17.478584,65,1808.283141
-14.078401,55,1808.956399
-41.207117,98,1810.135562
-5.695292,47,1810.674198
-16.545466,55,1811.344294
-33.390938,82,1819.64113
-20.008841,69,1820.486689
-19.442043,56,1821.188601
-191.449491,1003,1833.75481
-934.293471,880,1844.805829
-0.312096,60,1853.17955
-45.125826,113,1854.655047
-278.718458,592,1862.212599
-28.810806,59,1862.920074
-11.955397,52,1863.511601
-38.705661,72,1864.322792
-318.409575,518,1870.491379
-291.734202,579,1877.727891
-8.455858,54,1885.699732
-26.330538,63,1886.476971
-950.537934,800,1896.413946
-107.323241,370,1900.926529
-64.14888,332,1904.815145
-1201.814889,1560,1930.993699
-11.629667,68,1931.850398
-28.207916,93,1932.985117
-1392.619058,1600,1960.278011
-14.515533,63,1961.070325
-29.715608,65,1961.894613
-43.648441,98,1963.182703
-67.107483,271,1966.435364
-29.719417,83,1967.405235
-12.115506,64,1968.143233
-24.412304,106,1969.42093
-912.113398,720,1985.921877
-3.949305,64,1986.7686
-168.536036,271,1990.128554
-1.218356,54,1990.785537
-868.503052,1600,2017.575196
-26.229109,85,2018.597239
-863.001209,1600,2038.764171
-72.358075,203,2048.84815
-23.123789,70,2049.731995
-726.41428,640,2057.710402
-699.655453,1320,2074.669692
-215.707571,674,2090.138421
-91.3017,440,2095.439332
-29.410909,67,2096.205031
-31.8758,77,2097.111348
-15.712641,53,2097.75061
-267.076395,720,2107.079752
-7.16061,55,2115.200351
-902.254025,920,2126.810104
3.496511,57,2127.524978
-522.387039,1600,2156.416945
-27.3703,67,2157.261875
-32.608136,237,2160.281082
-206.965594,716,2169.189157
-6.435792,42,2169.703273
-218.747959,432,2182.183646
-20.692413,64,2182.985776
-820.850379,920,2194.182878
-6.605511,52,2194.789411
-1124.536491,1160,2217.137505
-193.797786,378,2221.793892
-334.717349,1600,2249.055341
-690.411018,1600,2268.529279
-64.466649,124,2270.015329
-708.098238,840,2287.353035
-127.836195,749,2296.406621
-12.999767,358,2300.872412
-411.905709,621,2315.482378
-18.878424,61,2316.300565
-376.127729,747,2325.987044
-24.701963,74,2326.90579
-5.29413,60,2327.709282
-725.657436,560,2334.903821
-666.993209,1600,2363.613362
-92.142985,463,2369.490067
-586.771767,960,2389.711784
-4.065564,55,2390.453231
-3.671464,56,2391.188635
-267.663522,376,2396.073799
-12.505301,84,2397.116154
-19.908545,183,2399.513052
-192.595028,450,2405.251306
-13.41896,92,2406.415235
-495.147461,1092,2427.412899
-116.722051,859,2437.990284
-170.316321,646,2452.915324
0.029383,57,2453.646945
-6.058839,59,2454.402398
-25.20586,84,2455.496184
-7.655235,45,2456.034626
-22.748141,108,2457.259439
-664.094298,720,2466.554863
-422.0611,1306,2490.207052
-203.726918,792,2500.62529
-497.372561,1028,2520.646343
-765.015202,902,2531.986548
-28.089483,51,2532.62594
-14.703895,72,2533.461307
-115.624598,457,2546.12755
-44.967475,301,2550.141536
-25.282697,63,2551.076852
-629.758901,666,2560.174662
-90.413617,320,2564.30372
-425.25164,758,2580.7147
-571.751002,520,2587.397931
-17.955084,69,2588.285013
-10.751193,65,2589.192299
-5.416337,55,2589.927822
-20.02416,56,2590.666633
-165.158029,1148,2605.389111
-1167.601567,1600,2631.432019
-314.226337,1068,2651.691873
-732.853294,640,2659.979844
-9.88682,68,2660.793983
-37.052283,66,2661.599308
-1351.172271,1600,2688.650626
-16.841832,333,2692.83819
-74.122277,227,2695.666641
-303.582221,737,2712.019348
-47.997512,377,2716.863294
-17.650891,180,2719.212422
-647.426292,480,2725.286273
-1419.161121,1600,2752.963347
-133.923378,514,2759.341787
-33.83487,82,2760.42579
-16.085399,61,2761.288445
-52.128903,175,2763.676491
-3.28116,52,2764.418914
-360.100726,349,2769.180649
0.744914,59,2769.989929
-166.239642,351,2781.946533
-18.457314,224,2784.964607
-47.302665,100,2786.252272
-104.432192,500,2792.30242
-560.34268,520,2799.068363
-132.924058,723,2815.108236
-1707.034224,1280,2832.030197
-31.761545,274,2835.926505
-104.251196,540,2850.438292
-573.219587,720,2859.435139
-14.003875,59,2860.170014
-1095.720435,1600,2887.797024
-0.000931,55,2888.531176
-83.432601,729,2897.833747
-110.471943,594,2912.466608
-498.262196,1600,2932.157344
-11.90219,62,2932.925792
-139.170315,226,2935.923604
-506.344906,1171,2957.897923
-132.553532,539,2964.661853
-496.284257,1521,2991.373067
-23.655891,66,2992.221195
-37.628857,174,2994.586171
-130.157111,1080,3015.860061
-24.805454,75,3016.786704
-28.095489,73,3017.64928
-232.779868,879,3028.353285
-12.196304,62,3029.065255
-24.584833,60,3029.804416
3.546639,191,3032.255479
-9.77184,45,3032.839666
-0.920879,62,3033.644065
-4.730763,64,3034.475842
-72.115872,420,3046.998796
-30.699558,75,3047.918581
-697.412525,720,3057.250367
-868.49029,840,3068.552516
-895.939712,1600,3096.245869
-16.463276,79,3097.224265
-19.076463,57,3097.909227
-12.876346,53,3098.538811
-21.783174,69,3099.371892
-589.595332,680,3115.596078
-625.26061,1600,3135.664682
-108.287698,893,3154.081069
-53.179996,105,3155.492069
-9.735268,60,3156.313711
-2.906586,48,3156.939262
-6.707323,59,3157.757923
-5.863581,51,3158.462985
-22.021158,78,3159.527801
-26.629128,262,3162.887931
-773.095501,895,3181.648172
-13.273935,70,3182.563665
-1041.053609,1600,3202.696797
4.302859,50,3203.317432
-183.144033,711,3219.708891
-964.560469,1120,3233.620844
-7.635957,57,3234.372256
-16.889513,59,3235.194267
-21.299859,59,3235.976128
-820.569929,600,3251.536897
-710.71005,1080,3265.368765
-13.165331,68,3266.272188
-60.221012,159,3268.275809
-51.225896,99,3269.427666
-161.406409,541,3283.436914
-1046.423683,1520,3304.323604
-3.606205,60,3305.105827
-23.501961,59,3305.838951
-6.705772,50,3313.464628
-798.571884,1527,3332.658024
-514.585953,623,3347.940536
-240.842758,684,3356.478813
-10.185995,55,3357.172968
-10.465594,51,3357.816079
-110.423951,610,3365.923489
-8.118255,51,3366.595787
-112.239334,832,3384.174193
-32.311106,204,3386.772842
-9.668556,64,3387.557766
-34.068553,77,3388.475782
-720.819831,560,3395.528209
-770.802179,1600,3423.469991
-1.438467,53,3424.171674
-29.925394,129,3425.759555
-686.799744,974,3438.450601
-887.402492,1400,3463.247857
-222.970863,1083,3484.130734
-1360.213365,1560,3504.166027
-16.002483,76,3505.191796
-277.035968,848,3523.684212
-16.198385,52,3524.365738
-156.471914,683,3532.968431
-86.516848,386,3537.947799
-1433.660532,1600,3566.28995
-715.7071,720,3582.334623
-64.370994,774,3592.124042
