#{"t_start": 1735515239.7218792, "env_id": "None"}
r,l,t
-1807.922813,600,3.456266
-14.946706,600,5.831678
-426.475213,600,8.231336
-544.999886,600,17.291223
-9.475621,600,19.746987
-453.728701,600,22.188812
-1811.7239,600,31.105491
-1027.594851,600,33.553242
0.086118,520,35.678788
-633.870537,600,38.186398
-85.72925,600,47.280728
-1498.274593,600,49.719381
-325.285936,600,52.247118
-11.705866,600,61.661422
-13.66944,600,64.27328
-17.842943,600,66.804066
-1728.900393,600,69.395105
-1810.891886,600,78.844995
-20.841794,600,81.348826
-17.912322,600,83.938348
-104.80769,600,93.360103
-1065.644011,600,95.905169
-300.756076,600,98.446932
-733.401957,600,100.956487
-19.295535,600,109.905351
-269.715069,600,112.473198
-30.145749,600,115.000957
-123.185092,600,123.885333
-168.800502,600,126.410318
-110.628499,600,128.994177
-67.369965,600,138.04283
-295.474295,600,140.498981
-103.782062,600,143.01956
-103.766989,600,145.549304
-50.049166,600,154.617726
-38.920876,600,157.140723
-22.690356,600,159.743608
-90.100395,600,168.917114
-7.800622,600,171.480425
-156.803154,600,173.948416
-21.484334,600,176.436195
-11.897447,600,185.471387
-170.382568,600,188.024491
-158.00443,600,190.666924
-7.87737,600,199.791402
-57.386132,600,202.32745
-3.925836,600,204.897758
-11.178889,600,214.212433
-12.03042,600,216.781734
-10.246854,600,219.366997
-104.527293,72,219.679826
-6.13414,600,222.276247
-53.03564,510,231.437773
-73.410124,600,234.026113
-8.974666,600,236.55102
-7.563495,600,245.638593
-1.142387,516,247.894497
-0.057025,600,250.567539
-3.249473,600,253.141578
-8.694147,600,262.210427
-110.896323,78,262.497817
-101.701205,600,265.001639
-35.130746,366,266.554443
-85.206014,600,269.108077
3.720131,600,278.16841
-10.22899,600,280.835154
-60.284864,414,282.634012
-70.342612,600,291.94923
-8.790504,600,294.613377
-14.732489,306,295.886764
-94.066939,73,296.209972
-47.111084,461,298.243505
-8.340067,600,306.978444
-39.66797,600,309.481091
-1.524502,600,312.115652
-97.646912,62,312.40314
-3.764872,600,315.038399
2.300958,96,321.989507
-6.847621,600,324.579956
-44.882166,600,327.255331
-40.462934,297,328.445443
0.293763,600,337.641685
-0.972115,374,339.197164
-384.871586,600,341.790143
-22.981034,600,344.340913
-58.872213,600,353.085413
-58.225224,199,353.964528
-83.475563,600,356.60233
-37.314862,600,359.236549
1.308775,600,368.690822
-0.307471,525,370.87991
-56.090749,600,373.574075
-55.022149,600,376.088484
-0.382688,600,385.282842
-0.324937,600,387.892601
1.58494,275,389.092557
0.031065,253,390.226704
-55.449831,201,391.059994
2.676386,282,398.916498
-1.669656,600,401.557547
-38.561208,600,403.983992
-0.160835,257,405.0907
-44.374785,175,405.853921
-1.799429,432,413.919827
1.815673,244,415.008524
-38.132644,193,415.741247
-0.243048,600,418.391623
-103.001234,59,418.62957
-2.393348,600,421.231601
-62.702141,600,430.335302
-38.614681,208,431.247554
4.262792,113,431.7213
-53.860447,600,434.32693
-1.065292,327,435.800042
-0.47997,600,445.008869
0.09697,379,446.577845
-18.127903,600,449.076096
4.643084,600,451.567053
-107.610724,95,451.95977
3.847904,600,461.0277
2.52114,107,461.440802
-3.000942,600,464.0295
-27.741164,600,466.622782
1.486739,200,467.469192
-70.699348,600,476.489192
3.71673,600,479.065434
-21.814343,159,479.773004
-0.720675,600,482.297083
0.746009,268,483.395149
-0.755167,600,492.397215
-18.631825,600,494.983368
1.743933,247,496.092655
-23.853772,600,498.740677
2.54531,115,505.608797
-7.389658,600,508.264863
-37.630195,343,509.733708
1.422894,300,511.041211
-48.098332,341,512.502511
-2.483175,600,521.835421
-56.028537,600,524.445003
-34.025162,267,525.612178
-41.285323,83,525.962912
-1.558887,600,528.645259
-38.323131,600,537.633867
0.471507,129,538.142945
-38.161839,600,540.652461
-50.387498,600,543.322206
-34.242941,111,543.814883
-108.11535,600,553.076009
-32.53517,207,553.965631
-37.850857,600,556.665842
-105.429464,59,556.91248
1.915178,600,559.589164
-58.765377,600,568.723026
-34.191576,233,569.757459
-2.797886,600,572.363137
2.036387,140,572.96159
1.864069,162,573.595483
0.011476,600,582.448766
-1.523676,600,585.064051
-0.125641,600,587.670873
3.07152,600,590.179934
3.29466,130,590.739419
-46.373977,40,590.93033
-41.904619,56,591.20602
1.45012,173,598.490831
1.974512,189,599.335606
-21.486456,174,600.131408
-72.574936,600,602.725168
-33.602766,600,605.290834
2.062587,153,605.977777
-62.972455,600,615.477868
6.279048,71,615.781417
3.493411,35,615.934688
0.788275,202,616.797029
-36.33076,600,619.334539
-0.832524,600,621.914346
1.757492,600,630.889668
-0.0935,600,633.356964
2.502731,61,633.653996
3.393469,74,634.010669
0.313237,266,635.22687
0.045978,600,644.394358
3.415728,38,644.552836
-53.872891,600,647.093046
-41.283736,54,647.351629
-57.86067,178,648.094466
2.138213,117,648.601504
0.542922,33,648.754305
-21.493863,600,651.394589
1.16349,167,652.098864
-48.008988,145,652.699684
-1.803627,600,661.853262
2.731475,100,662.248264
1.855859,600,664.825766
-43.858463,310,666.217503
2.484557,16,666.29592
2.778565,22,666.401615
1.104086,600,675.495322
0.807981,600,678.033487
1.816696,42,678.213713
2.28434,600,680.811639
-64.716168,600,683.500061
-70.381755,600,692.639784
3.689771,600,695.260324
2.525568,33,695.406395
1.608858,600,697.925098
-31.447859,308,705.79391
-37.197739,50,706.022373
2.781539,33,706.166899
-29.501576,89,706.552415
-0.441556,600,709.14703
1.201131,96,709.560557
