#{"t_start": 1735515239.6140537, "env_id": "None"}
r,l,t
-1040.52234,600,3.566103
-723.992325,600,5.939662
-28.710626,600,8.339988
-1813.804587,600,17.400334
-1808.102235,600,19.855262
-1031.239839,600,22.298269
1.655211,268,23.379501
-130.351757,600,32.339343
-9.505555,600,34.809495
-851.665248,294,35.96586
-21.359606,600,38.497169
-16.971895,600,47.565172
-430.927852,600,50.007327
-1469.266096,600,52.542096
-0.418543,326,53.925497
-1044.098515,539,63.102272
-1802.529203,600,65.708012
-1678.834689,600,68.25948
-1835.227728,600,77.699165
-131.609649,600,80.285798
-16.274639,600,82.802261
-12.690082,600,85.383676
-14.664995,600,94.803016
-255.059581,157,95.437609
-15.806264,600,97.931458
-19.379748,600,100.513926
-125.622662,600,109.415282
-287.162956,600,111.949
-621.364851,600,114.552705
-237.372319,600,123.454139
-65.405723,600,125.969948
-46.914392,600,128.500551
-181.417748,600,131.160129
-16.112791,600,140.08886
-99.52143,600,142.572489
-22.95516,600,145.054323
-322.441256,600,154.138662
-13.470848,600,156.661341
-14.677306,600,159.279444
-127.359788,600,168.448567
-10.72317,600,171.021272
-109.213565,600,173.491917
-15.721653,600,175.951078
-82.030466,600,185.007359
-8.879473,600,187.512841
-115.692083,76,187.860156
-99.154637,108,188.34317
-87.691144,600,190.971896
-93.166113,600,200.122745
-8.313397,600,202.636294
-13.154944,600,205.221863
-26.530751,600,214.551807
-8.626342,600,217.105914
-101.50926,600,219.669014
-95.838154,600,222.274926
-55.20152,249,230.358162
-9.876299,600,232.933879
-2.997881,600,235.458638
-60.790787,600,238.061557
-132.157734,68,238.365212
-41.019048,379,246.506862
-130.63861,600,249.116694
-54.278066,600,251.68311
-40.93254,266,252.896612
-42.457353,600,261.937377
-5.812361,600,264.392919
-55.406798,600,266.979931
-7.145295,600,275.967375
-250.632179,600,278.598009
-118.49587,75,278.974929
-16.314019,328,280.393222
0.897609,600,283.027021
-8.886284,600,292.341461
-70.027963,600,294.997539
-6.919778,600,297.585015
-0.496403,600,300.126172
-17.497353,600,308.793685
-73.609684,600,311.410967
-57.695697,600,314.052845
-122.208346,67,314.357132
4.988423,600,323.421324
-8.411955,600,326.13598
2.827738,37,326.333267
2.924048,152,326.988611
-43.443221,600,329.526936
-43.632834,175,330.266593
-94.371344,55,330.486432
6.311825,98,337.501453
0.166585,240,338.521444
-62.108861,600,341.070938
-51.122275,600,343.641709
-10.200616,600,352.430773
1.17512,366,353.991034
0.138845,434,355.819219
-43.690591,600,358.450228
2.321641,137,359.089137
-5.383169,600,368.555184
-0.846224,244,369.652103
-13.52148,600,372.240123
-109.218633,61,372.505889
4.210117,600,375.0885
-63.362136,600,384.301229
-28.962822,600,386.891295
-30.054757,600,389.459031
-58.670824,600,392.027625
-31.034555,295,399.96341
1.945024,187,400.757095
-2.4851,600,403.291989
-0.163732,499,405.417873
2.550641,276,406.556877
-1.446167,600,415.377211
1.481594,201,416.162596
-85.889976,53,416.396265
3.762122,600,419.050061
-0.485725,600,421.654358
1.894747,207,422.564182
0.423722,276,430.226297
0.912381,600,432.883605
-48.121166,573,435.395815
-39.606718,419,437.15653
-68.347074,166,437.938189
0.675606,235,445.498914
0.321227,600,447.969958
1.774389,600,450.510924
-42.520059,122,451.004772
-26.084731,600,460.019245
-55.891338,298,461.315004
4.763473,600,463.863258
-1.429556,600,466.476447
2.385183,140,467.056203
-38.327327,137,467.634251
0.602531,429,475.907992
-21.705103,600,478.4886
1.431298,60,478.733181
-0.472705,600,481.277465
0.427553,600,490.293478
-75.159131,273,491.451846
-11.665439,271,492.610867
2.167314,116,493.096895
-35.603433,600,495.703003
-2.935253,600,498.365487
-34.937297,600,507.428653
-45.907419,94,507.818841
-1.395082,600,510.421258
-2.546512,600,513.007774
-39.198945,600,522.317529
0.249623,600,524.917835
-39.300027,600,527.615206
-36.954962,192,528.448737
2.056004,212,529.264494
-41.289038,181,536.506432
1.873713,128,537.05898
1.894655,121,537.604045
0.319129,319,538.891157
-39.265836,188,539.641937
1.462111,600,542.238483
-0.93088,600,544.920377
2.375013,220,552.541244
-54.185747,183,553.35735
-52.277928,600,556.041498
-89.616047,55,556.271891
3.211607,600,558.933819
-40.571705,249,560.011663
0.758192,504,568.743632
-40.943228,600,571.307975
0.354563,207,572.255126
-42.200762,133,572.842243
-74.160247,264,573.903664
-46.301805,177,574.63864
-63.542895,600,583.552345
-57.93725,600,586.219979
6.514566,109,586.660603
-20.45969,600,589.176267
-34.559501,600,598.335134
-36.85388,600,601.008341
-33.383684,600,603.577341
-37.899622,144,604.153933
-20.482544,600,606.820863
-32.88288,316,615.120842
-46.395704,186,615.867218
3.218046,600,618.404714
-1.465001,600,621.000262
-19.666691,114,621.510829
0.295806,600,630.465219
-6.228124,600,632.93286
