#{"t_start": 1735694421.1813037, "env_id": "None"}
r,l,t
-14.376193,600,3.25046
-8.532722,600,5.758642
-19.146161,600,8.37412
-9.856774,600,17.745186
-16.205589,600,20.367245
-7.354698,600,22.84532
-17.690011,600,32.240123
-7.390432,600,34.901312
-18.705161,600,37.533735
-11.812241,600,40.086063
1.085623,600,49.247593
3.80784,178,49.980866
-12.439079,600,52.661201
-8.93359,600,55.342961
-7.75007,600,64.504044
-13.738085,600,67.171392
-0.113044,600,69.921031
-17.124334,600,79.143749
-30.232334,600,81.814329
-3.667854,600,84.452382
-15.716332,600,87.09095
-2.529662,600,96.504543
-16.727935,600,99.152103
9.284321,424,100.98723
2.721236,181,101.848274
-9.878457,600,111.124865
-10.266138,600,113.741953
10.294663,112,114.186368
12.646056,574,116.649664
-33.6084,600,126.014036
10.267849,42,126.166037
-9.428925,600,128.767801
-11.203303,600,131.429253
-13.006334,600,133.979641
10.347966,44,134.196512
-22.921493,600,142.961172
11.518777,150,143.597104
-34.803233,600,146.097633
5.732261,600,148.665337
-29.4239,600,157.858753
-6.092289,600,160.388169
-25.932749,600,162.982989
12.018364,95,163.398314
3.666082,34,163.556246
-14.53434,600,172.618396
7.816706,600,175.184991
-6.661421,600,177.710305
-18.352118,600,186.921847
-11.077777,600,189.522004
7.288231,600,192.100285
1.33189,160,192.828851
-12.707227,600,195.376541
-4.190775,600,204.631336
-10.279885,600,207.20179
-4.422035,600,209.752835
5.079544,83,210.119179
-25.066435,600,219.464343
10.622405,46,219.668617
-12.918082,600,222.250639
-10.865969,600,224.621126
-10.611432,600,233.634853
-7.386662,600,236.19253
-9.952855,600,238.807438
-17.361732,600,241.404649
-4.999264,600,250.569607
-4.146544,600,253.164286
-12.684984,600,255.693248
-4.969928,600,264.769369
-0.809877,600,267.316087
2.343888,28,267.452964
-23.421357,600,270.011512
10.404088,153,270.687765
4.941419,128,271.215459
3.722328,44,271.394643
3.053453,65,271.678927
4.45495,75,272.004619
-24.03106,600,281.420242
10.464655,77,281.7351
3.200234,68,282.061712
3.284183,71,282.375654
2.676246,143,283.012049
-23.095575,600,285.516054
10.23532,82,285.850217
-36.991279,600,295.163251
11.026733,62,295.444489
-11.610889,600,297.971088
8.921665,56,298.228985
-19.702016,600,300.763611
10.093321,54,301.008226
-22.409049,600,310.04677
15.412434,600,312.605014
2.823613,69,312.901071
3.316138,92,313.294504
-12.453946,600,315.80336
-14.488926,600,318.3883
-7.919988,600,327.319943
10.35452,73,327.625274
3.076792,75,327.91641
