#{"t_start": 1738241098.8864217, "env_id": "None"}
r,l,t
-14.202353,1600,7.349717
-16.4815,1600,19.949135
24.073912,396,21.625399
-22.067667,1600,34.611408
5.241479,1600,47.693126
-25.115253,1600,60.687195
12.460073,1600,67.747183
-47.036797,1600,80.544991
-5.496325,1600,93.532713
7.847048,1600,106.557469
25.99419,51,106.80682
19.369083,132,107.374765
9.565972,1600,120.369146
-11.682683,1600,127.305437
9.417227,1600,140.061182
-25.64618,1600,153.179231
28.425222,80,153.561916
21.503686,41,153.75314
26.806433,1584,166.600197
19.619839,107,167.099733
20.439935,39,167.259283
-12.331601,1600,180.330728
5.623965,1600,187.386393
-11.416393,1600,200.031953
28.580487,312,201.37969
-24.160401,1600,214.44533
14.843293,1600,227.282761
-10.837572,1600,240.123762
-9.195221,1600,247.018231
-5.093579,1600,259.820322
28.317863,40,259.971734
1.522365,1600,272.738417
7.480381,1600,285.422352
31.966554,34,285.560905
-26.328725,1600,298.649362
29.418565,57,298.911612
-8.119079,1600,305.894772
33.617649,100,306.322209
26.508011,53,312.487717
23.61429,59,312.749328
22.537284,64,313.038895
32.869101,338,314.539782
22.564198,41,314.737975
37.774728,1594,327.699639
34.988447,207,328.649767
17.6389,1600,335.711554
31.099883,47,335.933831
23.688841,81,336.292107
2.053518,1600,349.325146
10.010963,1600,362.037785
-4.397735,1600,374.902427
32.241996,53,375.158255
1.067283,1600,388.255331
31.294772,37,388.429478
23.667794,38,388.603302
22.340372,41,388.779691
34.996755,477,390.824886
32.536653,334,392.328991
21.655022,35,392.502204
22.799471,44,392.712808
-14.183336,1600,405.40782
31.906683,75,405.740628
22.525066,35,405.907192
22.687032,42,406.111351
21.299222,42,406.307841
20.370196,1600,419.022638
32.336589,117,419.571867
26.967483,44,419.767039
22.11506,46,419.971321
23.951527,30,420.101553
21.433416,46,420.307582
27.690127,95,420.757282
24.47208,33,420.915034
26.534643,281,422.19305
32.654613,445,424.167011
47.692627,1600,437.217407
0.589123,1600,449.867754
-5.217432,1600,462.756135
38.466801,91,463.179725
25.39264,37,463.337894
37.332298,402,465.099739
22.832728,33,465.257439
23.078326,32,465.397082
-46.882251,1600,478.484217
4.596417,1600,491.533868
8.169012,1600,498.845268
17.674317,1600,511.915462
-3.885072,1600,524.913662
79.3066,1600,537.938521
35.718784,277,539.212595
29.166787,72,539.531717
42.130105,261,540.71965
82.705939,1548,553.754358
24.009109,39,553.932675
1.984903,1600,567.344223
35.281372,101,567.78132
23.223172,32,567.920799
32.140535,1600,575.082772
31.069662,52,575.367588
25.700301,51,575.628471
-64.188624,1600,588.759861
31.222119,85,589.19406
49.460117,1600,601.952348
24.75375,33,602.097929
24.619743,63,602.354708
23.349759,27,602.463387
87.8258,1600,615.388275
23.888691,27,615.533722
32.568186,76,615.900708
29.061079,49,616.156572
23.145657,32,616.339472
22.788326,43,616.557833
24.16296,29,616.710766
64.327494,703,619.747313
24.178063,26,619.868273
23.963135,45,620.067499
22.088845,23,620.194296
22.51375,24,620.320378
24.337988,32,620.471387
22.441032,40,620.658655
23.61261,36,620.845184
22.94858,33,621.019954
25.13845,1600,634.205615
22.377344,35,634.357144
24.579018,31,634.500663
24.11646,28,634.618546
24.613395,35,634.790857
46.449085,1600,648.108542
31.774316,29,648.261465
22.433264,27,648.379369
23.989082,30,648.525115
22.686126,38,648.686163
15.419625,1600,661.854946
30.960844,41,662.065579
23.892919,28,662.208032
24.248765,26,662.320744
24.311534,24,662.425684
24.498374,1600,675.589191
44.141747,441,677.649193
23.289406,29,677.790269
24.841382,36,677.955062
22.298056,30,678.119232
74.058744,682,681.312987
24.730117,35,681.450253
20.820127,56,681.712572
24.381043,31,681.852839
23.640527,33,682.0048
21.745632,28,682.140324
22.832107,28,682.260219
23.207317,38,682.416924
23.961355,78,688.555192
25.033892,41,688.73358
23.254264,31,688.862642
39.51671,336,690.429959
23.523544,30,690.565439
23.942839,29,690.689985
31.88196,153,691.405507
34.899781,113,691.909454
25.185455,54,692.123972
23.870039,27,692.237495
21.759706,39,692.420763
13.583609,1600,705.807223
32.264517,30,705.952659
-20.819155,1600,713.368824
33.653618,67,719.399117
22.642349,25,719.496619
29.666465,94,719.926798
24.219258,45,720.131328
24.67175,31,720.285792
23.739882,33,720.422469
26.848125,56,720.682523
23.134842,34,720.830104
26.530654,54,721.063063
20.597359,42,721.24042
39.403934,352,722.912167
10.048376,1600,736.155885
24.114081,83,736.524717
23.228871,30,736.670448
27.135412,82,737.053189
26.585057,34,737.230719
38.613581,277,738.550233
73.573048,631,741.432908
24.237153,40,741.608359
47.522603,473,743.728096
22.12535,30,749.576949
23.142602,24,749.692218
23.095273,33,749.850008
74.742453,596,752.628954
63.309844,475,754.762424
22.242808,83,755.145794
26.56168,39,755.350165
23.530188,33,755.515298
23.661553,27,755.636042
23.940421,24,755.733192
21.65518,26,755.846986
22.298942,30,755.992289
24.964126,52,756.216047
25.444594,52,756.436831
20.928333,54,756.659332
49.533344,330,758.126545
21.773752,36,758.275774
24.162848,26,758.384197
