#{"t_start": 1738241098.6542606, "env_id": "None"}
r,l,t
-21.757232,1600,7.58195
-12.32776,1600,20.18124
-17.694149,1600,33.095735
13.727538,1600,46.177578
20.682488,101,46.611444
-3.676308,1600,53.676426
24.426394,156,60.307046
-10.134084,1600,67.348717
-38.040702,1600,80.102425
-8.842451,1600,93.11992
-4.171755,1600,106.165356
-13.901301,1600,113.262775
30.604058,73,113.594727
-11.145496,1600,126.474294
40.775079,386,128.12053
-25.620372,1600,140.849372
-28.200902,1600,154.065815
25.239938,1600,166.977385
-6.773257,1600,180.07079
29.463171,114,180.562724
-68.612995,1600,187.618685
-1.373039,1600,200.264227
-13.514637,1600,213.355471
15.366042,1600,226.196565
31.523644,42,226.384557
-13.180659,1600,239.28746
-15.03205,1600,246.139364
29.880282,64,246.406515
25.60307,76,246.732388
20.566786,77,247.035657
18.72122,113,247.487603
22.537963,37,253.400275
21.747425,33,253.55443
22.941234,58,253.805734
22.217473,97,254.280984
22.153839,72,254.6031
23.566078,27,254.720694
22.698513,41,254.918446
22.080299,60,255.19276
-15.135057,1600,262.084956
32.05333,78,268.367707
38.407919,1062,272.898586
-21.043274,1600,285.597146
33.393792,136,286.13814
22.287281,41,286.316649
-32.051463,1600,299.424973
-5.73952,1600,306.425563
28.503873,50,306.648118
17.624531,1600,319.72036
28.158646,118,320.18187
34.972208,340,321.660588
-14.283864,1600,334.761001
30.54061,39,334.95132
20.591209,1600,347.963948
28.212271,42,348.161226
22.771064,32,348.28564
27.323157,78,348.630932
22.705806,68,348.919038
21.626126,1600,361.627719
23.50416,1600,374.504779
-19.042716,1600,387.57952
5.981836,1600,394.779695
30.770238,38,394.953873
20.127185,40,395.10923
23.379012,1600,407.853519
22.822999,31,408.001585
23.13565,35,408.157847
24.660744,86,408.548825
23.429492,42,408.746608
24.340254,33,408.878728
11.757495,1600,421.575849
-12.323807,1600,434.685826
30.090938,31,434.843935
25.43627,40,435.033469
22.742733,24,435.134708
21.092259,24,435.250621
22.477268,42,435.426514
24.341531,30,435.568072
29.182769,1496,447.710303
33.469362,163,448.449391
12.970092,1600,455.439568
