#{"t_start": 1738270436.3273158, "env_id": "None"}
r,l,t
-92.413919,93,15.011515
44.066553,112,15.966209
9.693921,67,16.507551
-129.069484,104,18.029329
-13.687241,71,18.615989
-38.034584,94,19.42769
-210.302337,192,21.118329
-74.288092,97,21.93202
-92.286241,64,22.463268
-22.250642,58,22.957765
-515.745611,451,27.053133
1.099594,60,27.834492
23.603114,183,29.695819
-776.564563,800,49.249269
-20.206884,85,49.917436
-911.250753,800,56.469039
-152.638707,138,57.895896
-597.593931,797,75.133976
13.231605,71,75.666449
-152.080136,395,78.872429
-58.355715,61,79.329659
-28.252,86,80.044593
-83.175738,105,80.895687
-144.137089,800,87.374453
-37.915148,70,87.991582
-69.928529,84,88.683052
-787.095055,800,105.773917
22.130216,77,106.344532
-8.795991,84,106.975244
1.659285,62,107.444421
-262.76775,437,110.826343
93.320008,800,126.36792
-81.892394,74,126.941387
-1.709427,66,127.495119
-610.804332,800,133.703145
1.80033,77,134.34066
32.110929,82,135.009772
-136.364259,258,136.930399
-74.433534,126,137.998216
-21.403511,75,138.762886
-71.707307,158,140.218754
-72.629015,117,141.123781
-11.419848,278,154.208282
-151.717784,122,155.719245
-184.103462,214,157.570662
-81.148685,59,158.054828
-139.767096,65,158.655112
38.707048,107,159.632883
-125.713547,282,161.89022
-166.091151,200,163.654508
13.501969,106,164.49654
-155.149161,91,165.225792
0.247698,71,165.821934
-72.413117,160,167.200506
0.76895,89,167.920238
-32.854577,77,168.522061
-37.875245,390,178.993031
-621.723317,420,182.265333
-74.134045,70,182.818137
-188.991209,441,186.255303
-133.392841,89,186.942947
-149.495748,82,187.606361
-85.574958,70,188.163689
-19.600865,100,189.022571
-11.186791,73,189.880304
49.451307,121,191.278781
-106.332582,74,191.932851
-69.333202,63,192.467355
4.341563,60,193.007527
-2.548502,78,193.61328
-464.189422,800,212.578517
29.970659,146,214.194572
-266.297308,196,215.905988
-77.355326,86,216.808606
31.373867,141,218.032441
-17.15244,74,218.705889
-292.337217,172,220.094126
1.784897,67,220.718444
-265.511749,152,221.959234
-650.980086,380,225.048608
8.608516,67,225.58579
44.334415,121,236.459451
-90.922463,112,237.48156
16.77368,86,238.214208
-226.444981,245,240.792621
-97.994331,85,242.039805
22.1155,63,242.663277
-8.424387,197,244.462055
-45.161928,160,246.126113
-10.90126,72,246.858915
1.449068,67,247.421812
-111.168594,304,250.208033
22.408446,79,250.876213
-21.563598,272,253.437606
4.790708,65,253.954321
65.245121,149,262.895934
-217.749222,351,267.661255
27.933609,94,268.571277
0.487407,74,269.13747
8.660252,81,269.785681
75.545559,173,271.245917
-14.69811,67,271.882331
-363.630909,263,274.114055
-41.090894,69,274.647645
-25.38753,85,275.313466
12.791737,100,276.115372
-53.947292,66,276.60485
-1383.78033,800,290.514053
-16.590347,85,291.183704
44.226169,153,292.425668
-103.004806,69,292.962807
-406.800841,322,295.603629
8.337456,60,296.085
0.296388,70,296.657673
-42.56083,244,298.79594
-270.103576,139,300.752351
0.754895,87,301.608789
-5.153492,61,302.107827
-489.506766,396,305.504764
19.931715,73,306.205467
-48.130518,61,306.712617
-60.417207,72,317.625931
24.346336,73,318.256251
-27.963928,280,321.444623
6.553927,119,322.646537
2.587644,71,323.408576
-87.25541,206,326.156613
-72.006596,345,329.306379
15.609903,65,329.896816
-296.761071,640,335.60251
8.802604,70,336.192721
-25.9682,109,337.147859
34.359254,149,350.112629
-145.109818,90,350.871493
16.200144,83,351.611282
8.910501,69,352.178534
-17.291493,153,353.482782
-20.486574,164,354.87519
7.504411,68,355.45462
36.483223,219,357.339514
-179.724306,203,359.043041
3.042507,180,360.574952
-63.906037,77,361.205945
-271.581136,204,362.94836
-27.617253,104,363.826487
-678.731817,427,375.065586
-25.811638,71,375.65156
-28.356725,68,376.223098
-365.175841,800,382.762691
14.685458,119,383.745533
-6.765888,75,384.35754
15.437597,75,385.724105
-85.824781,139,387.189919
-24.147535,96,388.231294
-308.530011,413,391.642149
29.022,97,399.849607
-51.8348,73,400.427396
13.278975,74,401.048032
-282.537725,330,403.743354
28.05072,83,404.401789
-127.256186,171,406.442724
121.133889,304,409.581509
10.894979,59,410.22399
19.649066,154,411.853974
13.768469,82,412.721299
-24.01776,94,413.690324
19.536426,77,414.501189
-15.063171,270,417.353216
-33.295905,80,418.183176
56.257826,226,427.854642
-221.748632,148,429.044027
-112.94827,70,429.608531
-354.143943,800,435.842886
-38.877938,164,437.148518
-22.017963,67,437.715034
-116.043272,62,438.202899
-12.678829,108,439.02714
21.61131,130,440.033854
0.067054,198,441.58218
0.992712,71,442.147521
-86.090252,86,442.839298
8.214749,72,443.402938
-12.016395,103,451.542447
-7.751626,161,452.777717
21.591409,70,453.302822
29.737033,82,453.927708
5.705661,93,454.64569
-196.552793,341,457.756246
6.133134,87,459.081503
