#{"t_start": 1738270436.6738923, "env_id": "None"}
r,l,t
-292.40242,380,17.717509
-32.224082,98,18.539138
24.2459,73,19.1797
-8.245219,76,19.857356
5.536465,73,20.470619
-197.443972,201,22.176207
-259.62308,349,25.157923
-51.776105,64,25.676962
-72.083256,64,26.197767
19.646987,81,27.428647
28.849083,146,28.958524
16.070107,80,29.704209
-306.097082,289,32.017106
-14.894605,82,45.367777
-128.795942,84,46.092374
-21.406882,67,46.734324
-125.567532,114,47.757594
6.20605,64,48.372535
-10.218153,59,48.883636
-41.312592,111,49.760147
-86.251724,105,50.57077
-53.551943,253,52.801447
-1104.803667,800,59.498201
-1269.300216,800,76.724479
-18.33207,108,77.684544
-68.751408,62,78.161735
-7.665881,151,79.343646
-372.614457,365,82.244218
17.241693,100,83.010634
-4.04611,63,83.54671
5.757955,70,84.164243
2.805342,138,85.214635
-62.878419,70,85.746319
-6.796712,69,86.266237
10.327513,97,87.207308
-431.674848,228,89.051072
3.894717,66,89.530679
-203.502887,97,101.081234
-101.231755,61,101.586474
18.600024,69,102.205755
-34.16368,63,102.692699
-94.744539,91,103.370555
-42.716507,209,105.032104
-62.532761,63,105.545187
-1293.584634,800,111.642092
-87.832643,106,112.529303
-1506.575955,800,128.093781
4.310733,139,129.112186
-189.078797,175,130.551619
-94.128446,62,131.065292
12.861685,67,131.567154
-60.805906,72,132.109901
16.419922,64,132.585707
0.629383,68,133.092737
-25.204544,67,133.643198
25.22875,95,134.423339
-1019.791201,640,139.812077
42.774468,94,140.552429
-4.727797,284,153.541568
-177.930014,98,154.818516
21.05566,88,155.732603
-121.088502,150,156.99165
-87.701684,94,157.807037
-441.930793,645,163.336256
-6.886822,61,163.809325
-213.068197,137,164.913238
-81.710719,74,165.537417
21.332156,116,166.576442
11.357743,128,167.589129
-12.090846,64,168.085507
455.030276,800,181.742265
21.291768,105,182.589488
-102.094691,65,183.095701
-157.450182,186,184.556943
-1.722839,61,185.012127
2.97896,103,185.806783
-209.64795,437,189.654943
19.754629,88,190.680245
-14.070036,63,191.317792
-62.029725,140,192.506109
-23.146348,74,193.11236
-37.01738,164,194.521849
30.779266,108,195.547997
0.325591,62,207.18384
7.995193,76,207.841465
-7.114859,62,208.310761
-29.14157,99,209.24691
42.713949,109,210.447947
16.469683,66,211.272518
-93.496587,268,214.261559
-132.531353,76,214.954744
11.319992,83,215.657313
-72.371442,122,216.871079
-27.706279,103,217.767181
37.698384,140,218.988686
-12.217937,95,219.731552
-379.481911,800,236.200778
-129.575013,73,236.884379
42.439509,264,239.131104
-19.282262,72,239.926663
-104.904685,83,241.381377
13.038248,59,242.038155
0.149847,60,242.600863
6.807199,65,243.187346
13.798763,67,243.833299
-46.275893,179,245.634091
-436.630561,320,248.631708
24.711027,93,249.473485
39.294053,149,250.814018
10.760297,180,252.524857
6.710639,63,253.057253
-157.22688,335,263.483392
-43.070275,109,265.507612
-94.400048,82,266.690039
-29.305147,226,268.91188
-7.662767,62,269.404103
-21.207763,84,270.105497
35.174135,92,270.889059
17.609565,135,272.093441
45.462008,73,272.71447
-844.413295,800,279.168188
23.793527,105,280.151838
30.180915,98,280.971214
-27.013223,160,289.514466
-94.725343,67,290.071424
-294.300307,204,291.692861
3.985354,95,292.458304
39.968386,224,294.342808
-464.337186,607,300.028667
27.208406,97,301.143433
-75.811502,71,301.715099
-90.009608,63,302.280029
-118.96148,108,303.187735
110.997154,245,305.283614
-0.394314,78,306.016037
-768.710558,772,324.712945
-4.658747,131,326.243932
6.096583,69,326.925333
3.504179,62,327.476506
-56.708484,65,328.054362
-80.73893,75,328.69221
-201.581203,462,332.775171
-437.591208,449,336.741515
20.928855,73,349.068234
-25.378921,80,349.747968
-121.896751,126,350.834977
-28.197597,76,351.482692
23.102342,84,352.211354
56.128674,208,353.962026
-585.577234,557,358.69842
-111.291661,91,359.504478
-146.682253,74,360.103131
13.090642,88,360.827758
8.639938,66,361.398253
28.272553,123,362.44546
11.538585,89,363.180396
70.42912,125,364.26229
10.892812,67,364.828955
4.244274,70,365.432705
-96.71659,90,366.17246
-16.349383,86,374.521898
-69.329031,125,375.563506
38.526877,119,376.529182
-48.563167,60,377.00523
-53.706682,107,377.877635
-116.959847,61,378.373224
-188.967894,175,379.823271
-87.171972,71,380.411823
10.289094,64,380.933449
-17.48559,187,382.469673
-33.130764,136,383.600216
2.924789,81,384.604672
-5.998332,59,385.522671
-10.540455,78,386.361288
-15.151916,64,387.027874
-20.47497,159,388.579008
54.898995,76,389.183339
0.985498,79,389.829524
-21.327688,68,390.414622
43.021235,89,391.128373
48.561156,112,392.035006
20.689721,69,399.989682
-15.19195,68,400.548232
9.93218,191,402.132898
-44.59923,211,403.824624
-10.034545,67,404.383276
-684.88062,800,413.080571
-34.55042,84,413.961655
-33.039285,60,414.594494
34.773043,91,415.58911
-435.274181,800,430.339871
-1255.230511,800,436.617074
17.090976,70,437.189435
-55.395208,71,437.760314
-12.05847,121,438.691522
-366.572886,425,442.01735
-45.83304,64,442.534257
-82.987724,62,443.018174
-190.184038,800,456.498089
14.005275,79,457.989665
19.219524,77,458.905511
25.906607,184,461.117816
12.746127,85,462.126829
12.972054,71,462.953162
-850.800694,800,478.407997
25.772169,101,479.18219
20.684482,135,480.213289
-10.667446,221,481.923665
-18.657804,64,482.419723
-56.701431,150,483.578252
52.708945,56,484.011594
-994.159372,800,490.088123
5.83451,65,490.570386
-28.575631,65,491.057421
-524.758547,699,503.587527
-140.459125,71,504.138888
-613.703227,800,510.340493
-240.913225,266,512.431384
-155.390449,173,513.776891
-245.938903,148,514.916901
-4.143231,128,515.871254
7.346285,126,516.835653
-12.780939,65,525.01335
-195.034332,123,525.959626
-90.735986,67,526.455293
10.791287,60,526.950505
-8.715402,148,528.054936
6.498434,73,528.612967
56.013658,93,529.309386
333.206995,800,535.408367
-16.302985,203,536.994763
-99.670348,161,538.221242
9.16244,175,539.531007
3.398623,81,540.127453
-36.464988,178,548.838988
5.503928,68,549.351257
31.86382,100,550.159886
62.603999,291,552.353764
-66.029161,80,552.983891
78.069325,155,554.199955
82.219517,338,556.779918
-345.704516,300,559.077808
-17.077254,81,559.689896
5.47447,90,560.369162
1.464249,96,561.091943
38.204048,100,561.887818
-441.80903,534,573.288542
-228.653271,800,579.523328
-21.966529,75,580.079675
17.901119,135,581.113067
56.736315,134,582.150113
6.354325,62,582.618245
-253.64618,322,585.049837
10.230136,62,585.522571
17.842065,68,586.051341
15.591643,90,594.226255
52.657945,203,595.806599
36.361964,109,596.627011
11.472329,69,597.178939
-77.584878,75,597.746469
-15.996548,109,598.591414
13.439613,64,599.078247
30.056624,116,599.967957
-14.63182,230,601.727784
39.576092,99,602.494222
-199.354081,800,608.670783
26.594318,192,617.421853
54.382362,184,618.81356
-81.612631,83,619.443619
-115.881291,153,620.634094
-30.756502,118,621.5476
-4.259764,64,622.028512
9.460043,64,622.514983
113.486691,297,624.698686
-7.839905,91,625.375848
26.295503,165,626.625577
-62.119927,162,627.840469
45.238827,113,628.712658
6.446065,75,629.349072
102.36978,551,641.281336
-1369.630904,800,647.301627
-361.173507,800,653.259749
129.905614,479,664.676857
-0.987666,70,665.200884
19.270473,113,666.104832
13.832738,67,666.626162
13.38114,65,667.137127
53.180126,188,668.533945
6.514891,80,669.138516
19.780507,109,669.945005
18.721211,77,670.522267
-17.755695,58,670.951895
33.763928,108,671.76653
-224.194471,356,674.474107
13.556447,92,675.160104
19.378798,167,676.47852
20.105003,129,677.436379
-9.393485,106,678.228317
62.802737,110,686.620072
-39.378519,62,687.079717
434.925695,800,693.072566
24.051287,98,693.821546
23.408484,70,694.354097
-6.798987,62,694.826486
15.131262,79,695.436978
1.446456,65,695.924341
65.268843,104,696.697624
62.20112,236,698.478359
69.188369,106,699.301045
11.359768,153,700.488862
4.822748,67,701.017238
15.398686,167,710.469025
-5.846468,169,711.710702
-89.498925,64,712.192106
-68.281892,145,713.283122
2.057241,80,713.873627
6.672002,200,715.392202
21.818253,117,716.256465
39.74101,156,717.43227
46.38746,64,717.920306
121.448285,800,723.966721
12.318793,123,724.899324
25.909364,91,725.601948
-72.216153,109,734.430163
20.486619,138,735.471809
4.585242,84,736.100759
76.499702,102,736.851301
10.96115,68,737.37588
52.762017,78,737.96254
32.245577,80,738.563515
10.428644,63,739.032064
26.043529,90,739.689531
77.30568,143,740.748104
60.626819,74,741.309336
-26.898589,73,741.897433
-17.745555,559,746.111693
49.126365,103,746.875017
48.668888,96,747.600612
-64.311288,236,756.809013
10.657588,150,757.940987
-90.770324,130,758.914325
144.377052,800,764.91908
-0.455974,73,765.472008
-33.253951,203,767.025316
22.039381,601,771.51721
1.992584,161,780.045814
-6.920636,77,780.629861
44.774616,184,781.981832
24.651559,76,782.572443
-73.392784,151,783.782112
2.462511,148,784.919485
15.074864,273,786.960277
48.135105,150,788.07396
10.260754,186,789.463668
3.262889,64,789.939939
12.279487,80,790.556674
60.620983,189,791.996501
99.749707,489,803.15494
-9.703565,100,803.90912
87.11261,659,808.859753
26.335177,83,809.46553
20.604456,71,809.99643
21.430387,129,810.97458
17.591078,77,811.561676
20.422111,78,812.156152
75.341013,236,814.007674
8.734938,64,814.488644
39.83567,104,815.260534
80.284231,612,827.227891
36.370858,89,827.89682
25.29726,77,828.48497
-147.305837,335,831.047908
6.289685,72,831.582143
-13.035052,71,832.108663
-28.938173,66,832.603203
-13.525232,81,833.220142
-28.267263,90,833.901128
1.189599,94,834.623316
33.185366,133,835.635454
19.014987,155,836.797121
22.236798,75,837.413894
4.675128,181,838.899691
7.78403,64,839.393869
-53.904947,104,840.187683
30.192706,119,848.561522
12.916661,139,849.623018
64.34337,180,850.990116
311.841649,490,854.717407
5.767278,67,855.230968
60.927241,99,856.005132
206.926774,552,860.187148
36.098782,104,860.962335
-4.912039,61,861.427442
39.798138,94,862.168753
46.856012,91,862.855075
76.342449,192,871.606548
11.585481,86,872.259941
15.198848,130,873.247075
11.011658,64,873.721154
74.817769,141,874.782398
19.754453,72,875.316353
5.719584,97,876.04535
-35.718709,331,878.549335
93.640137,182,879.912586
17.677232,800,885.946001
17.624832,79,893.894969
79.11915,149,895.026061
3.418573,79,895.62414
18.223245,78,896.212785
23.782602,82,896.815667
-2.379505,63,897.299016
3.187873,72,897.834509
11.987053,106,898.677182
11.373046,120,899.557177
-5.723352,109,900.34012
62.956837,121,901.228966
5.75162,81,901.835173
15.179969,70,902.378804
97.104701,283,904.550965
62.541671,299,906.869147
16.802137,65,907.366044
546.802224,800,920.575024
25.231635,174,921.935252
23.106491,67,922.47785
2.372317,102,923.25352
54.556193,114,924.132386
23.965497,139,925.219778
42.593466,70,925.748268
10.765128,252,927.625223
36.75904,208,929.20316
7.917417,65,929.69109
443.521848,800,943.152251
153.281052,330,945.664684
129.384384,478,949.373986
-9.153337,58,949.820754
3.956144,118,950.734658
70.023583,155,951.908105
17.471479,78,952.515177
3.02374,67,953.063262
13.569892,65,953.561716
13.787749,64,954.064112
30.749446,110,954.950593
-10.139904,126,963.341594
18.527067,64,963.856721
88.149568,293,966.195107
44.953895,117,967.122206
8.298249,64,967.620686
100.24114,303,969.953727
25.972571,182,971.397926
50.554566,81,971.998175
-9.054989,69,972.5301
423.366917,800,986.291138
23.30554,70,986.826478
17.766687,324,989.310747
4.273546,176,990.639895
7.937077,70,991.167608
43.368479,107,991.972653
24.512363,70,992.502711
63.267885,128,993.477068
27.144223,76,994.056887
54.196102,313,996.429008
-6.58384,75,996.998291
-14.953195,87,997.650995
-29.671678,61,998.110376
27.140344,114,998.968083
-22.936444,438,1009.545074
7.0947,68,1010.047663
52.088308,126,1011.011199
23.011286,65,1011.503453
1.104391,74,1012.085006
27.572712,71,1012.637426
72.890719,425,1015.886623
319.789384,787,1021.922482
-34.834215,57,1022.360572
94.663587,341,1032.264539
-19.706846,77,1032.851759
20.919816,227,1034.567842
93.742374,357,1037.261995
-5.856766,93,1037.978521
5.752107,64,1038.462687
24.050112,74,1039.022557
3.414939,74,1039.575088
55.429059,122,1040.49793
-16.719366,79,1041.0988
-13.177962,89,1041.763286
24.732709,76,1042.369761
-521.572622,800,1055.864721
-22.343611,69,1056.381775
-14.648049,82,1056.986654
61.730953,151,1058.137407
-78.775509,65,1058.669606
15.624256,74,1059.236281
34.68042,107,1060.066018
19.926569,101,1060.862856
12.079252,86,1061.533971
6.05622,72,1062.098623
75.358958,158,1063.326779
33.969093,79,1063.945004
2.49271,82,1064.596797
14.973429,64,1065.100269
35.953993,302,1067.3823
6.754353,66,1067.875726
-29.056532,67,1068.386706
13.823124,64,1068.863168
85.994201,95,1069.577471
8.135367,79,1070.186846
118.276721,372,1080.554579
27.489252,95,1081.294788
31.576513,97,1082.040063
-7.676181,83,1082.693235
18.446346,70,1083.226073
-1.536618,94,1083.954665
60.503871,162,1085.183496
21.109031,81,1085.796761
-3.677844,66,1086.269106
2.235886,67,1086.772086
19.255635,122,1087.678051
51.14891,129,1088.644947
43.391509,245,1090.471515
7.949962,68,1090.990603
4.313218,78,1091.590363
-8.762097,67,1092.088586
7.386202,161,1093.294218
496.158542,800,1106.518705
1.185404,78,1107.129397
32.80359,115,1107.988118
-19.421041,66,1108.48508
60.947888,249,1110.358954
48.884552,99,1111.112403
-20.138264,84,1111.757061
8.134631,65,1112.264989
9.038166,62,1112.738468
15.160588,107,1113.53747
-7.251824,77,1114.124384
20.257859,78,1114.715103
26.729371,88,1115.379135
49.030882,55,1115.798692
47.527239,94,1123.871475
99.44075,201,1125.399216
45.566026,333,1127.877115
30.545278,81,1128.496989
57.629092,178,1129.872572
